"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
30,135,-3.2591,-5.3301,-3.2591,-5.3301,528,395,0,-8.5,-8.4853,-0.014719,1,0,540,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.1699,135.794906769224,-0.794906769224298,FALSE,"th_0710"
31,135,-2.7505,-6.2384,-2.7505,-6.2384,528,395,0,-8.5,-8.4853,-0.014719,1,0,440,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.2616,140.571231144118,-5.57123114411829,FALSE,"th_0710"
32,45,4.7923,-3.8114,4.7923,-3.8114,528,395,0,-8.5,8.4853,-0.014719,1,0,541,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.6886,44.3733363486123,0.626663651387688,FALSE,"th_0710"
33,90,-0.5664,-2.516,-0.5664,-2.516,528,395,0,-8.5,0,3.5,1,0,420,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.984,95.4070743391824,-5.4070743391824,FALSE,"th_0710"
34,135,-3.9322,-5.4475,-3.9322,-5.4475,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.0525,142.178418217183,-7.17841821718278,FALSE,"th_0710"
35,90,-0.2858,-1.9074,-0.2858,-1.9074,528,395,0,-8.5,0,3.5,1,0,580,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,6.5926,92.4823115395421,-2.4823115395421,FALSE,"th_0710"
36,45,3.6669,-5.5291,3.6669,-5.5291,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.9709,39.014180125356,5.98581987464397,FALSE,"th_0710"
37,45,4.1464,-3.6243,4.1464,-3.6243,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.8757,49.6214466575928,-4.62144665759278,FALSE,"th_0710"
38,135,-4.0343,-5.4557,-4.0343,-5.4557,528,395,0,-8.5,-8.4853,-0.014719,1,0,420,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.0443,142.961639856958,-7.96163985695785,FALSE,"th_0710"
39,90,0.38,-4.6885,0.38,-4.6885,528,395,0,-8.5,0,3.5,1,0,240,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,3.8115,84.30652340867,5.69347659133003,FALSE,"th_0710"
40,90,-0.19239,-2.8021,-0.19239,-2.8021,528,395,0,-8.5,0,3.5,1,0,460,1,1,1,1,"th_0710","align_explicit_train_selected",12,90,5.6979,91.9338613872323,-1.93386138723231,FALSE,"th_0710"
41,135,-3.1485,-6.3158,-3.1485,-6.3158,528,395,0,-8.5,-8.4853,-0.014719,1,0,260,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.1842,145.249903785618,-10.2499037856184,FALSE,"th_0710"
42,45,3.6065,-5.4873,3.6065,-5.4873,528,395,0,-8.5,8.4853,-0.014719,1,0,300,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.0127,39.8737905427531,5.12620945724689,FALSE,"th_0710"
43,90,0.2341,-2.8311,0.2341,-2.8311,528,395,0,-8.5,0,3.5,1,0,560,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.6689,87.6352863281321,2.36471367186792,FALSE,"th_0710"
44,45,3.8007,-4.8647,3.8007,-4.8647,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.6353,43.7257719872694,1.27422801273062,FALSE,"th_0710"
45,135,-3.8545,-5.7065,-3.8545,-5.7065,528,395,0,-8.5,-8.4853,-0.014719,1,0,440,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.7935,144.067754467526,-9.06775446752593,FALSE,"th_0710"
64,45,3.4984,-4.3356,3.4984,-4.3356,528,395,0,-8.5,8.4853,-0.014719,1,0,1180,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.1644,49.9672885558395,-4.96728855583947,FALSE,"th_0710"
65,90,-0.1991,-4.2341,-0.1991,-4.2341,528,395,0,-8.5,0,3.5,1,0,560,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.2659,92.6721951740079,-2.67219517400791,FALSE,"th_0710"
66,135,-3.5365,-5.5778,-3.5365,-5.5778,528,395,0,-8.5,-8.4853,-0.014719,1,0,420,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.9222,140.433173266442,-5.43317326644186,FALSE,"th_0710"
67,90,-1.0687,-4.0188,-1.0687,-4.0188,528,395,0,-8.5,0,3.5,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.4812,103.413641871398,-13.4136418713984,FALSE,"th_0710"
68,135,-3.6805,-5.0582,-3.6805,-5.0582,528,395,0,-8.5,-8.4853,-0.014719,1,0,400,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.4418,136.919518336809,-1.91951833680895,FALSE,"th_0710"
69,45,3.6193,-5.6351,3.6193,-5.6351,528,395,0,-8.5,8.4853,-0.014719,1,0,540,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.8649,38.363795326503,6.63620467349703,FALSE,"th_0710"
70,45,4.4446,-3.7217,4.4446,-3.7217,528,395,0,-8.5,8.4853,-0.014719,1,0,580,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.7783,47.0721535445169,-2.07215354451693,FALSE,"th_0710"
71,135,-4.7687,-5.2044,-4.7687,-5.2044,528,395,0,-8.5,-8.4853,-0.014719,1,0,400,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.2956,145.352044124881,-10.3520441248814,FALSE,"th_0710"
72,90,0.2236,-5.7274,0.2236,-5.7274,528,395,0,-8.5,0,3.5,1,0,321,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,2.7726,85.3892844507944,4.61071554920557,FALSE,"th_0710"
91,135,-3.8611,-4.6167,-3.8611,-4.6167,528,395,0,-8.5,-8.4853,-0.014719,1,0,660,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.8833,134.835757086262,0.164242913738263,FALSE,"th_0710"
92,90,-0.669,-4.1794,-0.669,-4.1794,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.3206,98.801758454477,-8.801758454477,FALSE,"th_0710"
93,45,4.2634,-4.5618,4.2634,-4.5618,528,395,0,-8.5,8.4853,-0.014719,1,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.9382,42.729365969105,2.27063403089498,FALSE,"th_0710"
94,90,-0.9119,-2.79,-0.9119,-2.79,528,395,0,-8.5,0,3.5,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.71,99.0736436525112,-9.07364365251124,FALSE,"th_0710"
95,45,4.1765,-4.812,4.1765,-4.812,528,395,0,-8.5,8.4853,-0.014719,1,0,400,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.688,41.4456639955746,3.55433600442537,FALSE,"th_0710"
96,135,-3.3571,-6.0602,-3.3571,-6.0602,528,395,0,-8.5,-8.4853,-0.014719,1,0,420,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.4398,143.991912483279,-8.99191248327855,FALSE,"th_0710"
97,90,-0.3613,-3.5015,-0.3613,-3.5015,528,395,0,-8.5,0,3.5,1,0,540,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.9985,94.1342454781124,-4.13424547811243,FALSE,"th_0710"
98,45,3.958,-4.7992,3.958,-4.7992,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.7008,43.076599669329,1.92340033067099,FALSE,"th_0710"
99,135,-3.3748,-5.8454,-3.3748,-5.8454,528,395,0,-8.5,-8.4853,-0.014719,1,0,400,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.6546,141.811595220551,-6.81159522055108,FALSE,"th_0710"
109,90,0.0524,-1.4454,0.0524,-1.4454,528,395,0,-8.5,0,3.5,2,0,920,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,7.0546,89.574427517626,0.425572482373994,FALSE,"th_0710"
110,135,-5.1963,-5.8215,-5.1963,-5.8215,528,395,0,-8.5,-8.4853,-0.014719,2,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.6785,152.730572916576,-17.7305729165765,FALSE,"th_0710"
111,45,3.5963,-5.7201,3.5963,-5.7201,528,395,0,-8.5,8.4853,-0.014719,2,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.7799,37.7036252721822,7.29637472781778,FALSE,"th_0710"
112,90,-0.2347,-2.6216,-0.2347,-2.6216,528,395,0,-8.5,0,3.5,2,0,521,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.8784,92.286367199686,-2.28636719968596,FALSE,"th_0710"
113,135,-4.2892,-5.846,-4.2892,-5.846,528,395,0,-8.5,-8.4853,-0.014719,2,0,380,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.654,148.25229410407,-13.2522941040698,FALSE,"th_0710"
114,45,4.6023,-4.4487,4.6023,-4.4487,528,395,0,-8.5,8.4853,-0.014719,2,0,680,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.0513,41.3567285408247,3.64327145917528,FALSE,"th_0710"
115,90,0.3841,-2.6859,0.3841,-2.6859,528,395,0,-8.5,0,3.5,2,0,440,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.8141,86.2203305198616,3.77966948013842,FALSE,"th_0710"
117,45,3.7339,-5.9164,3.7339,-5.9164,528,395,0,-8.5,8.4853,-0.014719,2,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.5836,34.6805488861862,10.3194511138138,FALSE,"th_0710"
136,90,-0.6759,-3.0869,-0.6759,-3.0869,528,395,0,-8.5,0,3.5,2,0,760,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.4131,97.1173301343327,-7.1173301343327,FALSE,"th_0710"
137,135,-4.8651,-6.0727,-4.8651,-6.0727,528,395,0,-8.5,-8.4853,-0.014719,2,0,380,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.4273,153.484433135923,-18.4844331359226,FALSE,"th_0710"
138,45,3.7876,-5.0836,3.7876,-5.0836,528,395,0,-8.5,8.4853,-0.014719,2,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.4164,42.0503330429585,2.94966695704147,FALSE,"th_0710"
139,90,0.0211,-5.1294,0.0211,-5.1294,528,395,0,-8.5,0,3.5,2,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,3.3706,89.6413323573844,0.358667642615572,FALSE,"th_0710"
140,135,-3.4066,-6.0661,-3.4066,-6.0661,528,395,0,-8.5,-8.4853,-0.014719,2,0,340,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.4339,144.455481528801,-9.45548152880141,FALSE,"th_0710"
141,45,3.6353,-4.72,3.6353,-4.72,528,395,0,-8.5,8.4853,-0.014719,2,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.78,46.1179112391672,-1.11791123916723,FALSE,"th_0710"
142,90,-0.4616,-1.7566,-0.4616,-1.7566,528,395,0,-8.5,0,3.5,2,0,500,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,6.7434,93.9159087297352,-3.91590872973515,FALSE,"th_0710"
143,45,3.7083,-5.6221,3.7083,-5.6221,528,395,0,-8.5,8.4853,-0.014719,2,0,340,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.8779,37.8139623843296,7.18603761567038,FALSE,"th_0710"
144,135,-5.2265,-4.7839,-5.2265,-4.7839,528,395,0,-8.5,-8.4853,-0.014719,2,0,381,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.7161,144.586747100088,-9.58674710008802,FALSE,"th_0710"
163,90,-0.6437,-2.4323,-0.6437,-2.4323,528,395,0,-8.5,0,3.5,2,0,640,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,6.0677,96.0556491392297,-6.05564913922967,FALSE,"th_0710"
164,45,3.953,-5.7039,3.953,-5.7039,528,395,0,-8.5,8.4853,-0.014719,2,0,380,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.7961,35.2731519017549,9.72684809824514,FALSE,"th_0710"
165,135,-3.549,-6.0453,-3.549,-6.0453,528,395,0,-8.5,-8.4853,-0.014719,2,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.4547,145.329955090689,-10.3299550906891,FALSE,"th_0710"
166,45,3.4588,-5.3234,3.4588,-5.3234,528,395,0,-8.5,8.4853,-0.014719,2,0,380,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.1766,42.5647088290502,2.43529117094977,FALSE,"th_0710"
167,135,-3.5005,-5.2368,-3.5005,-5.2368,528,395,0,-8.5,-8.4853,-0.014719,2,0,340,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.2632,137.00936085071,-2.00936085071007,FALSE,"th_0710"
168,90,-1.8558,-1.0838,-1.8558,-1.0838,528,395,0,-8.5,0,3.5,2,0,900,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,7.4162,104.048967542024,-14.048967542024,FALSE,"th_0710"
169,135,-3.6406,-6.0961,-3.6406,-6.0961,528,395,0,-8.5,-8.4853,-0.014719,2,0,220,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.4039,146.56308772039,-11.5630877203901,FALSE,"th_0710"
170,45,4.1846,-5.83,4.1846,-5.83,528,395,0,-8.5,8.4853,-0.014719,2,0,300,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.67,32.5400669536144,12.4599330463856,FALSE,"th_0710"
171,90,-0.3998,-2.7891,-0.3998,-2.7891,528,395,0,-8.5,0,3.5,2,0,500,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.7109,94.0045423405967,-4.00454234059674,FALSE,"th_0710"
