ID,instruction,rotation,age,version,folder
dp_2005,explicit,30,younger,IE,30explicit
ca_0205,explicit,30,younger,EI,30explicit
ka_1905,explicit,30,younger,IE,30explicit
hr_1305,explicit,30,younger,EI,30explicit
so_2405,explicit,30,younger,IE,30explicit
mi_1905,explicit,30,younger,EI,30explicit
hf_1805,explicit,30,younger,EI,30explicit
jw_2505,explicit,30,younger,EI,30explicit
ho_2405,explicit,30,younger,EI,30explicit
sk_1705,explicit,30,younger,IE,30explicit
ps_1705,explicit,30,younger,EI,30explicit
bf_3237,implicit,30,younger,EI,handview
bm_3244,implicit,30,younger,IE,handview
bw_3254,implicit,30,younger,IE,handview
rg_0410,implicit,30,younger,EI,handview
bb_3233,implicit,30,younger,IE,handview
cb_3260,implicit,30,younger,EI,handview
bj_3241,implicit,30,younger,EI,handview
bp_3247,implicit,30,younger,EI,handview
by_3256,implicit,30,younger,IE,handview
ca_3259,implicit,30,younger,IE,handview
bd_3235,implicit,30,younger,IE,handview
be_3236,implicit,30,younger,IE,handview
bg_3238,implicit,30,younger,IE,handview
bl_3243,implicit,30,younger,EI,handview
br_3249,implicit,30,younger,EI,handview
bz_3257,implicit,30,younger,EI,handview
bk_3242,implicit,30,younger,IE,handview
bh_3239,implicit,30,younger,EI,handview
bx_3255,implicit,30,younger,EI,handview
bc_3234,implicit,30,younger,EI,handview
bn_3245,implicit,30,younger,EI,handview
bv_3253,implicit,30,younger,EI,handview
bs_3250,implicit,30,younger,IE,handview
bt_3251,implicit,30,younger,EI,handview
bq_3248,implicit,30,younger,IE,handview
bo_3246,implicit,30,younger,IE,handview
bu_3252,implicit,30,younger,IE,handview
bi_3240,implicit,30,younger,IE,handview
cc_3261,implicit,30,younger,EI,handview
nd_0212,implicit,30,younger,IE,org30implicit
ta_0205,implicit,30,younger,EI,org30implicit
ae_0225,implicit,30,younger,EI,org30implicit
tp_0210,implicit,30,younger,EI,org30implicit
mp_0216,implicit,30,younger,IE,org30implicit
nm_0122,implicit,30,younger,EI,org30implicit
kn_0212,implicit,30,younger,EI,org30implicit
sk_0209,implicit,30,younger,EI,org30implicit
bs_1201,implicit,30,younger,IE,org30implicit
ms_0129,implicit,30,younger,EI,org30implicit
sk_0210,implicit,30,younger,IE,org30implicit
jv_1901,implicit,30,younger,IE,org30implicit
ss_0601,implicit,30,younger,IE,org30implicit
mm_0205,implicit,30,younger,IE,org30implicit
sm_2601,implicit,30,younger,IE,org30implicit
sh_0403,implicit,30,younger,IE,org30implicit
s07,implicit,30,younger,IE,sEDS
s11,implicit,30,younger,EI,sEDS
s19,implicit,30,younger,EI,sEDS
s42,implicit,30,younger,IE,sEDS
s08,implicit,30,younger,IE,sEDS
s18,implicit,30,younger,EI,sEDS
s04,implicit,30,younger,IE,sEDS
s43,implicit,30,younger,EI,sEDS
s20,implicit,30,younger,IE,sEDS
s01,implicit,30,younger,IE,sEDS
s06,implicit,30,younger,EI,sEDS
s46,implicit,30,younger,EI,sEDS
s13,implicit,30,younger,EI,sEDS
s10,implicit,30,younger,EI,sEDS
s44,implicit,30,younger,EI,sEDS
s45,implicit,30,younger,EI,sEDS
jc_2309,implicit,30,older,EI,aging_implicit
bh_0608,implicit,30,older,IE,aging_implicit
bo_1309,implicit,30,older,IE,aging_implicit
jf_0804,implicit,30,older,EI,aging_implicit
tf_0831,implicit,30,older,IE,aging_implicit
fe_1710,implicit,30,older,IE,aging_implicit
cb_2909,implicit,30,older,IE,aging_implicit
rc_1608,implicit,30,older,IE,aging_implicit
co_0407,implicit,30,older,IE,aging_implicit
bj_2404,implicit,30,older,IE,aging_implicit
ch_3006,implicit,30,older,EI,aging_implicit
bb_2906,implicit,30,older,IE,aging_implicit
af_0111,implicit,30,older,EI,aging_implicit
ia_0109,implicit,30,older,EI,aging_implicit
jd_1007,implicit,30,older,IE,aging_implicit
ao_1608,implicit,30,older,EI,aging_implicit
hd_0310,implicit,30,older,EI,aging_implicit
bz_0427,implicit,30,older,IE,aging_implicit
mw_2510,implicit,30,older,IE,aging_implicit
vb_0706,explicit,60,younger,EI,60explicit_b
im_1705,explicit,60,younger,IE,60explicit_b
ns_2405,explicit,60,younger,EI,60explicit_b
ap_1705,explicit,60,younger,EI,60explicit_b
rr_2206,explicit,60,younger,IE,60explicit_b
mb_0206,explicit,60,younger,EI,60explicit_b
ys_1605,explicit,60,younger,EI,60explicit_b
bg_0705,explicit,60,younger,IE,60explicit_b
mw_0706,explicit,60,younger,IE,60explicit_b
da_1505,explicit,60,younger,EI,60explicit_b
tp_2405,explicit,60,younger,IE,60explicit_b
he_0906,explicit,60,younger,IE,60explicit_b
mp_0906,explicit,60,younger,EI,60explicit_b
ak_0106,explicit,60,younger,IE,60explicit_b
sa_2106,explicit,60,younger,IE,60explicit_b
nj_3105,explicit,60,younger,EI,60explicit_b
ag_1606,explicit,60,younger,EI,60explicit_b
sd_2505,explicit,60,younger,IE,60explicit_b
at_1605,explicit,60,younger,IE,60explicit_b
pa_0906,explicit,60,younger,IE,60explicit_b
ym_2206,explicit,60,younger,EI,60explicit_b
fm_1406,explicit,60,younger,IE,60explicit_b
cn_2205,explicit,60,younger,EI,60explicit_b
ig_0212,explicit,30,younger,EI,org30explicit
ha_1501,explicit,30,younger,IE,org30explicit
sb_1501,explicit,30,younger,EI,org30explicit
hp_0205,explicit,30,younger,IE,org30explicit
dn_2601,explicit,30,younger,EI,org30explicit
ma_0301,explicit,30,younger,IE,org30explicit
ap_1201,explicit,30,younger,IE,org30explicit
sm_0122,explicit,30,younger,IE,org30explicit
kb_0209,explicit,30,younger,IE,org30explicit
pa_0216,explicit,30,younger,EI,org30explicit
op_1901,explicit,30,younger,EI,org30explicit
te_0202,explicit,30,younger,EI,org30explicit
sn_0310,explicit,30,younger,IE,org30explicit
dl_0127,explicit,30,younger,IE,org30explicit
ji_0216,explicit,30,younger,IE,org30explicit
am_0301,explicit,30,younger,EI,org30explicit
