"agegroup","group","ID","participant","active_bool","localizationshift_deg"
"cntrl","30implicit","gs_3105",1,0,-7.66274977199176
"cntrl","30implicit","gs_3105",1,1,-12.7047963911656
"cntrl","30implicit","ec_1706",2,0,-16.4170842060433
"cntrl","30implicit","ec_1706",2,1,-16.6069195049934
"cntrl","30implicit","sm_1601",3,0,-5.80296184484673
"cntrl","30implicit","sm_1601",3,1,-5.49458298081264
"cntrl","30implicit","as_1601",4,0,0.377758980101731
"cntrl","30implicit","as_1601",4,1,-2.21522860641934
"cntrl","30implicit","ma_1506",5,0,-5.93823183871004
"cntrl","30implicit","ma_1506",5,1,-8.50240001521452
"cntrl","30implicit","ag_0906",6,0,7.24361321672901
"cntrl","30implicit","ag_0906",6,1,8.54077241514251
"cntrl","30implicit","pa_0416",7,0,-4.55765755250417
"cntrl","30implicit","pa_0416",7,1,-2.1834426660992
"cntrl","30implicit","sa_1406",8,0,-9.32456262699336
"cntrl","30implicit","sa_1406",8,1,-7.75832438905523
"cntrl","30implicit","lw_1306",9,0,-7.66431659830091
"cntrl","30implicit","lw_1306",9,1,-4.95262552369065
"cntrl","30implicit","fs_1011",10,0,-2.93568425191863
"cntrl","30implicit","fs_1011",10,1,-10.917606313914
"cntrl","30implicit","nj_1406",11,0,-7.81566486063156
"cntrl","30implicit","nj_1406",11,1,-12.1619785128671
"cntrl","30implicit","ja_1606",12,0,-5.72874530402697
"cntrl","30implicit","ja_1606",12,1,-7.10100469377423
"cntrl","30implicit","zw_2609",13,0,2.85768761912409
"cntrl","30implicit","zw_2609",13,1,-3.19282588414237
"cntrl","30implicit","az_1306",14,0,-2.63382086505461
"cntrl","30implicit","az_1306",14,1,1.499357787761
"cntrl","30implicit","pe_0416",15,0,-10.8486905831517
"cntrl","30implicit","pe_0416",15,1,-4.61417998493854
"cntrl","30implicit","bh_1506",16,0,-14.2903371385379
"cntrl","30implicit","bh_1506",16,1,-13.4795527598899
"cntrl","30implicit","bd_3105",17,0,-1.50441077736283
"cntrl","30implicit","bd_3105",17,1,-5.90334632284806
"cntrl","30implicit","ay_1506",18,0,-7.33799472954546
"cntrl","30implicit","ay_1506",18,1,-9.8343457263743
"cntrl","30implicit","cf_1706",19,0,-6.50962967031332
"cntrl","30implicit","cf_1706",19,1,-5.62248554787821
"cntrl","30explicit","ns_1905",20,0,-7.47547671500428
"cntrl","30explicit","ns_1905",20,1,-27.1876369267981
"cntrl","30explicit","ac_2605",21,0,-9.79211174908421
"cntrl","30explicit","ac_2605",21,1,-12.1481257708116
"cntrl","30explicit","ab_1905",22,0,-10.5401345898761
"cntrl","30explicit","ab_1905",22,1,-11.1635760227683
"cntrl","30explicit","mr_2405",23,0,-19.420478887323
"cntrl","30explicit","mr_2405",23,1,-17.8727842922306
"cntrl","30explicit","cl_1105",24,0,-6.55810517353234
"cntrl","30explicit","cl_1105",24,1,-2.5569569827791
"cntrl","30explicit","ah_2505",25,0,-6.163700746204
"cntrl","30explicit","ah_2505",25,1,-4.4046326152847
"cntrl","30explicit","dr_2705",26,0,-10.3689265888349
"cntrl","30explicit","dr_2705",26,1,-12.7746901932419
"cntrl","30explicit","jm_2605",27,0,-3.62968055480344
"cntrl","30explicit","jm_2605",27,1,-10.4404288776224
"cntrl","30explicit","dp_2005",28,0,-4.98649582061052
"cntrl","30explicit","dp_2005",28,1,-11.8921067665463
"cntrl","30explicit","ka_1905",29,0,-2.40568760846585
"cntrl","30explicit","ka_1905",29,1,-4.34482413130195
"cntrl","30explicit","hr_1305",30,0,-7.65772890490208
"cntrl","30explicit","hr_1305",30,1,-9.26195275719994
"cntrl","30explicit","so_2405",31,0,-7.80111326929979
"cntrl","30explicit","so_2405",31,1,-7.50458304447466
"cntrl","30explicit","mi_1905",32,0,8.17595465483208
"cntrl","30explicit","mi_1905",32,1,5.08454754767841
"cntrl","30explicit","hf_1805",33,0,-0.598496397641824
"cntrl","30explicit","hf_1805",33,1,-3.36349408245597
"cntrl","30explicit","jw_2505",34,0,-5.78800460654134
"cntrl","30explicit","jw_2505",34,1,-10.7181151077995
"cntrl","30explicit","ho_2405",35,0,-1.02494592097658
"cntrl","30explicit","ho_2405",35,1,0.407380761324207
"cntrl","30explicit","sk_1705",36,0,-5.61651095257155
"cntrl","30explicit","sk_1705",36,1,-7.64496871043473
"cntrl","30explicit","ps_1705",37,0,-9.77799744899818
"cntrl","30explicit","ps_1705",37,1,-13.1051664382221
"cntrl","60implicit_b","rd_3105",38,0,-4.82752048616412
"cntrl","60implicit_b","rd_3105",38,1,5.74969670388001
"cntrl","60implicit_b","cg_2206",39,0,0.844746567089616
"cntrl","60implicit_b","cg_2206",39,1,-8.49488199619294
"cntrl","60implicit_b","ad_0206",40,0,2.44731368504584
"cntrl","60implicit_b","ad_0206",40,1,-4.72847487853198
"cntrl","60implicit_b","yl_1005",41,0,-9.37304977652048
"cntrl","60implicit_b","yl_1005",41,1,-15.818458810538
"cntrl","60implicit_b","ho_1406",42,0,-1.75204751393019
"cntrl","60implicit_b","ho_1406",42,1,-6.4203532053716
"cntrl","60implicit_b","ap_0106",43,0,-11.7709953032143
"cntrl","60implicit_b","ap_0106",43,1,-9.11195273526574
"cntrl","60implicit_b","ts_1505",44,0,-7.3462527055099
"cntrl","60implicit_b","ts_1505",44,1,-10.4015385706148
"cntrl","60implicit_b","mb_1205",45,0,2.7956016901599
"cntrl","60implicit_b","mb_1205",45,1,-3.14386272970011
"cntrl","60implicit_b","pb_2306",46,0,4.60467955311644
"cntrl","60implicit_b","pb_2306",46,1,-4.34400894536979
"cntrl","60implicit_b","ss_2505",47,0,-6.70044721936443
"cntrl","60implicit_b","ss_2505",47,1,-6.41577382986552
"cntrl","60implicit_b","sc_0106",48,0,-7.58200274654229
"cntrl","60implicit_b","sc_0106",48,1,-7.27911311330638
"cntrl","60implicit_b","ud_2605",49,0,-11.3569814596131
"cntrl","60implicit_b","ud_2605",49,1,-8.97271401996496
"cntrl","60implicit_b","nb_1505",50,0,-3.89291914786123
"cntrl","60implicit_b","nb_1505",50,1,-4.14883527731052
"cntrl","60implicit_b","jl_1406",51,0,-21.7801981413121
"cntrl","60implicit_b","jl_1406",51,1,-4.82511515749387
"cntrl","60implicit_b","dd_1506",52,0,-2.53553679478888
"cntrl","60implicit_b","dd_1506",52,1,-4.20702280390866
"cntrl","60implicit_b","ss_1005",53,0,-0.028870285820318
"cntrl","60implicit_b","ss_1005",53,1,-3.69031029222397
"cntrl","60implicit_b","mc_0806",54,0,-3.15978049162262
"cntrl","60implicit_b","mc_0806",54,1,-8.33927214479627
"cntrl","60implicit_b","ej_2106",55,0,-6.89558199050366
"cntrl","60implicit_b","ej_2106",55,1,-14.2124765610858
"cntrl","60implicit_b","sh_1005",56,0,9.09336342597181
"cntrl","60implicit_b","sh_1005",56,1,-9.73415817780551
"cntrl","60explicit_b","vb_0706",57,0,-9.4952131410444
"cntrl","60explicit_b","vb_0706",57,1,-8.57158201945028
"cntrl","60explicit_b","im_1705",58,0,-62.2679137361155
"cntrl","60explicit_b","im_1705",58,1,-1.90901332126562
"cntrl","60explicit_b","ns_2405",59,0,-1.51027815364052
"cntrl","60explicit_b","ns_2405",59,1,-5.60854716016528
"cntrl","60explicit_b","ap_1705",60,0,-1.38895834232158
"cntrl","60explicit_b","ap_1705",60,1,-1.81834957975243
"cntrl","60explicit_b","rr_2206",61,0,-2.45248964371051
"cntrl","60explicit_b","rr_2206",61,1,-9.0548401508071
"cntrl","60explicit_b","mb_0206",62,0,-6.97585555412476
"cntrl","60explicit_b","mb_0206",62,1,-7.71400127306209
"cntrl","60explicit_b","ys_1605",63,0,-9.61703570275588
"cntrl","60explicit_b","ys_1605",63,1,-10.9438843962955
"cntrl","60explicit_b","bg_0705",64,0,-1.60067927758024
"cntrl","60explicit_b","bg_0705",64,1,-2.0589109908393
"cntrl","60explicit_b","mw_0706",65,0,-21.65079896836
"cntrl","60explicit_b","mw_0706",65,1,-5.49565955853893
"cntrl","60explicit_b","da_1505",66,0,-8.57696036020168
"cntrl","60explicit_b","da_1505",66,1,-1.38663181976472
"cntrl","60explicit_b","tp_2405",67,0,-13.4644606561653
"cntrl","60explicit_b","tp_2405",67,1,-16.3429361415288
"cntrl","60explicit_b","he_0906",68,0,-11.4857325143524
"cntrl","60explicit_b","he_0906",68,1,-6.23894812280884
"cntrl","60explicit_b","mp_0906",69,0,-8.82373567125629
"cntrl","60explicit_b","mp_0906",69,1,-5.61706420256452
"cntrl","60explicit_b","ak_0106",70,0,0.99521283263984
"cntrl","60explicit_b","ak_0106",70,1,-3.437919611046
"cntrl","60explicit_b","sa_2106",71,0,0.973088128315368
"cntrl","60explicit_b","sa_2106",71,1,-4.24268471793717
"cntrl","60explicit_b","nj_3105",72,0,-2.08692812944917
"cntrl","60explicit_b","nj_3105",72,1,-6.70724043743194
"cntrl","60explicit_b","ag_1606",73,0,-4.11963078864757
"cntrl","60explicit_b","ag_1606",73,1,-1.51430201930385
"cntrl","60explicit_b","sd_2505",74,0,-4.94362362412084
"cntrl","60explicit_b","sd_2505",74,1,-0.14215856551217
"cntrl","60explicit_b","at_1605",75,0,1.15970245865846
"cntrl","60explicit_b","at_1605",75,1,-5.40944596043611
"cntrl","60explicit_b","pa_0906",76,0,16.8200358822274
"cntrl","60explicit_b","pa_0906",76,1,-5.19842420520126
"cntrl","60explicit_b","ym_2206",77,0,-2.94146461810026
"cntrl","60explicit_b","ym_2206",77,1,-0.921844005363434
"cntrl","60explicit_b","fm_1406",78,0,5.87196730106928
"cntrl","60explicit_b","fm_1406",78,1,-9.06853539549181
"cntrl","60explicit_b","cn_2205",79,0,-4.1525850666799
"cntrl","60explicit_b","cn_2205",79,1,-8.57441731484299
"cntrl","cursorjump","cp_1201",80,0,-4.5436269632831
"cntrl","cursorjump","cp_1201",80,1,-10.8647626377704
"cntrl","cursorjump","cr_2206",81,0,-4.04380894087184
"cntrl","cursorjump","cr_2206",81,1,-4.72508294436981
"cntrl","cursorjump","cr_2106",82,0,-6.69479534620942
"cntrl","cursorjump","cr_2106",82,1,-12.9621432517331
"cntrl","cursorjump","ar_1908",83,0,-6.60747966285214
"cntrl","cursorjump","ar_1908",83,1,-8.58588965181171
"cntrl","cursorjump","mc_2110",84,0,-7.78030790934717
"cntrl","cursorjump","mc_2110",84,1,-7.49228461338489
"cntrl","cursorjump","oi_2006",85,0,-6.25282543399511
"cntrl","cursorjump","oi_2006",85,1,-1.20096295978175
"cntrl","cursorjump","pn_2106",86,0,-6.3372070541024
"cntrl","cursorjump","pn_2106",86,1,-6.37491137744038
"cntrl","cursorjump","va_0202",87,0,-4.02564612214126
"cntrl","cursorjump","va_0202",87,1,-14.9384605350268
"cntrl","cursorjump","pa_2006",88,0,6.76649043952229
"cntrl","cursorjump","pa_2006",88,1,-0.332251843603197
"cntrl","cursorjump","rk_1201",89,0,4.73924476283487
"cntrl","cursorjump","rk_1201",89,1,1.7251316533761
"cntrl","cursorjump","sm_2510",90,0,2.3123272027623
"cntrl","cursorjump","sm_2510",90,1,-0.599421431194713
"cntrl","cursorjump","jl_0211",91,0,-18.2460821109065
"cntrl","cursorjump","jl_0211",91,1,-0.797925838677519
"cntrl","cursorjump","ns_1311",92,0,-8.76826381535653
"cntrl","cursorjump","ns_1311",92,1,-16.8377175031776
"cntrl","cursorjump","sk_2410",93,0,-5.33339878467236
"cntrl","cursorjump","sk_2410",93,1,-10.036226490532
"cntrl","cursorjump","ps_2610",94,0,-3.64370067460412
"cntrl","cursorjump","ps_2610",94,1,-2.50439926739218
"cntrl","cursorjump","fk_2510",95,0,-14.1435084209222
"cntrl","cursorjump","fk_2510",95,1,-11.2052301487797
"cntrl","cursorjump","ja_2610",96,0,-4.95801706340592
"cntrl","cursorjump","ja_2610",96,1,-2.13276366126876
"cntrl","cursorjump","ls_1201",97,0,2.07584605377713
"cntrl","cursorjump","ls_1201",97,1,2.23651227493453
"cntrl","cursorjump","ms_2410",98,0,-7.89276756805518
"cntrl","cursorjump","ms_2410",98,1,-6.9344369708168
"cntrl","cursorjump","jy_2206",99,0,0.562600685519543
"cntrl","cursorjump","jy_2206",99,1,-2.02625757868672
"cntrl","org30implicit","nd_0212",128,0,0.927970304762394
"cntrl","org30implicit","nd_0212",128,1,-2.56222758311476
"cntrl","org30implicit","ta_0205",129,0,-1.04295056337186
"cntrl","org30implicit","ta_0205",129,1,-8.46812888195359
"cntrl","org30implicit","ae_0225",130,0,-7.99877058322574
"cntrl","org30implicit","ae_0225",130,1,-10.1392894379158
"cntrl","org30implicit","tp_0210",131,0,-16.6934158320527
"cntrl","org30implicit","tp_0210",131,1,-8.41124890431304
"cntrl","org30implicit","mp_0216",132,0,-6.00362706034237
"cntrl","org30implicit","mp_0216",132,1,-11.6332851076035
"cntrl","org30implicit","nm_0122",133,0,-1.99565926048884
"cntrl","org30implicit","nm_0122",133,1,-1.62415456023983
"cntrl","org30implicit","kn_0212",134,0,-3.19810341243993
"cntrl","org30implicit","kn_0212",134,1,-3.64107106105356
"cntrl","org30implicit","sk_0209",135,0,-3.20284517014839
"cntrl","org30implicit","sk_0209",135,1,-7.34931972039887
"cntrl","org30implicit","sk_0210",136,0,-12.6947463666743
"cntrl","org30implicit","sk_0210",136,1,-11.5032051879299
"cntrl","org30implicit","jv_1901",137,0,-14.1143061707172
"cntrl","org30implicit","jv_1901",137,1,-11.5353348008203
"cntrl","org30implicit","sm_2601",138,0,-7.61458896995183
"cntrl","org30implicit","sm_2601",138,1,-5.88905036945173
"cntrl","org30implicit","sh_0403",139,0,-13.6405802608035
"cntrl","org30implicit","sh_0403",139,1,-14.6327071326818
"cntrl","org30explicit","ha_1501",140,0,-0.164610727189667
"cntrl","org30explicit","ha_1501",140,1,-4.72634637602008
"cntrl","org30explicit","sb_1501",141,0,-3.52946212448043
"cntrl","org30explicit","sb_1501",141,1,-13.1161801878023
"cntrl","org30explicit","hp_0205",142,0,-10.0530195182883
"cntrl","org30explicit","hp_0205",142,1,-8.03770646136942
"cntrl","org30explicit","ap_1201",143,0,-13.2103550187435
"cntrl","org30explicit","ap_1201",143,1,-7.1858481702586
"cntrl","org30explicit","sm_0122",144,0,-3.88257937111181
"cntrl","org30explicit","sm_0122",144,1,-6.65170467523417
"cntrl","org30explicit","kb_0209",145,0,-17.4675924805518
"cntrl","org30explicit","kb_0209",145,1,-19.9673209891844
"cntrl","org30explicit","pa_0216",146,0,-13.6587310514452
