"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"aging","aging_implicit","jc_2309",100,0,-5.27995960308378,9.80704912061049
"aging","aging_implicit","jc_2309",100,1,-3.69103553397405,7.92872774577074
"aging","aging_implicit","bh_0608",101,0,-10.1273865925484,7.63526971750881
"aging","aging_implicit","bh_0608",101,1,-22.272908568185,8.68925990154615
"aging","aging_implicit","jf_0804",102,0,-17.8707813942265,6.06610021195878
"aging","aging_implicit","jf_0804",102,1,-20.6337636549063,2.02620168732546
"aging","aging_implicit","tf_0831",103,0,-10.4439500411938,3.99681738858682
"aging","aging_implicit","tf_0831",103,1,-7.11864836160169,2.29935466422343
"aging","aging_implicit","fe_1710",104,0,-8.86840128586586,4.950301961198
"aging","aging_implicit","fe_1710",104,1,-6.27112299027131,4.91488868681924
"aging","aging_implicit","rc_1608",105,0,-8.20666806394213,12.2078444890139
"aging","aging_implicit","rc_1608",105,1,-10.1707039680184,10.3230511555776
"aging","aging_implicit","co_0407",106,0,-4.15274991188788,2.94968448436058
"aging","aging_implicit","co_0407",106,1,0.192470119847442,6.90020279856859
"aging","aging_implicit","bj_2404",107,0,-6.03699010053374,5.84255732766907
"aging","aging_implicit","bj_2404",107,1,-8.9794877769291,7.52415863089402
"aging","aging_implicit","ch_3006",108,0,-21.5655317924801,4.80810813830476
"aging","aging_implicit","ch_3006",108,1,-19.9829620477051,6.32380652681874
"aging","aging_implicit","bb_2906",109,0,-19.0335994652274,7.27507073112763
"aging","aging_implicit","bb_2906",109,1,-16.3674858849304,7.78458483051928
"aging","aging_implicit","af_0111",110,0,-11.8510560877362,7.81958031799982
"aging","aging_implicit","af_0111",110,1,-10.5198295770164,7.04133098734948
"aging","aging_implicit","jd_1007",111,0,-0.348577839889408,11.1894145203389
"aging","aging_implicit","jd_1007",111,1,-6.84725675187081,3.44562771200752
"aging","aging_implicit","ao_1608",112,0,-13.2873850493518,5.41489441148329
"aging","aging_implicit","ao_1608",112,1,-13.1629613743068,5.52992843863515
"aging","aging_implicit","hd_0310",113,0,-13.4265009664624,1.84649002507385
"aging","aging_implicit","hd_0310",113,1,-16.6965090112809,2.62515664249259
"aging","aging_explicit","mm_2306",114,0,-6.09067614382653,4.19023285974528
"aging","aging_explicit","mm_2306",114,1,-7.69441492590507,6.62448198049785
"aging","aging_explicit","ta_0607",115,0,-11.7973587851958,6.2906296212348
"aging","aging_explicit","ta_0607",115,1,-11.4891782258232,4.65024423347389
"aging","aging_explicit","pe_1207",116,0,-3.51327054625345,7.65272147566555
"aging","aging_explicit","pe_1207",116,1,-13.8106246566361,2.85983356081269
"aging","aging_explicit","mn_1307",117,0,-6.50687989411856,2.16022715596944
"aging","aging_explicit","mn_1307",117,1,-7.81816706044081,2.83271440625749
"aging","aging_explicit","mj_2706",118,0,-3.7711919294499,7.18013090353573
"aging","aging_explicit","mj_2706",118,1,-8.9589270553181,2.93412666093535
"aging","aging_explicit","cp_2509",119,0,-13.3496937242758,4.59929330119242
"aging","aging_explicit","cp_2509",119,1,-17.2559292475091,3.72531360678332
"aging","aging_explicit","cp_0412",120,0,-7.94767430483021,2.75212928239022
"aging","aging_explicit","cp_0412",120,1,-7.71441818715574,4.203639237283
"aging","aging_explicit","bd_0707",121,0,-10.2312379743433,6.37865278736518
"aging","aging_explicit","bd_0707",121,1,-11.0026163067317,2.61932492121102
"aging","aging_explicit","gj_2906",122,0,-10.6901448546045,2.08740646059757
"aging","aging_explicit","gj_2906",122,1,-3.6381036160191,1.72312777147995
"aging","aging_explicit","jn_0203",123,0,-3.67513934345979,8.48899755742532
"aging","aging_explicit","jn_0203",123,1,-12.7297575306393,10.4345648857653
"aging","aging_explicit","mv_0807",124,0,-10.1923325651853,7.09997914428859
"aging","aging_explicit","mv_0807",124,1,-8.61071591704867,4.73749660640328
"aging","aging_explicit","nb_1807",125,0,-8.28967702081905,4.32811477891993
"aging","aging_explicit","nb_1807",125,1,-7.95612651468472,2.12156124555248
"aging","aging_explicit","hb_0407",126,0,-19.1128071419616,4.88909274275377
"aging","aging_explicit","hb_0407",126,1,-20.361205721767,2.97116858782465
"aging","aging_explicit","ck_1010",127,0,-7.01308066936832,1.68695360419762
"aging","aging_explicit","ck_1010",127,1,-9.41651225903358,1.81868583848035
