"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"cntrl","30explicit","dr_2705",26,0,-10.3689265888349,4.80548270481466
"cntrl","30explicit","dr_2705",26,1,-12.7746901932419,8.37431018055446
"cntrl","30explicit","jm_2605",27,0,-3.62968055480344,6.62624065246438
"cntrl","30explicit","jm_2605",27,1,-10.4404288776224,7.2523195828847
"cntrl","30explicit","dp_2005",28,0,-4.98649582061052,3.64443197852256
"cntrl","30explicit","dp_2005",28,1,-11.8921067665463,2.40986290937414
"cntrl","30explicit","ka_1905",29,0,-2.40568760846585,11.8372723301072
"cntrl","30explicit","ka_1905",29,1,-4.34482413130195,6.45979778909982
"cntrl","30explicit","hr_1305",30,0,-7.65772890490208,2.42146396374393
"cntrl","30explicit","hr_1305",30,1,-9.26195275719994,4.0691495100562
"cntrl","30explicit","so_2405",31,0,-7.80111326929979,2.5991635958609
"cntrl","30explicit","so_2405",31,1,-7.50458304447466,1.52369417381713
"cntrl","30explicit","mi_1905",32,0,8.17595465483208,9.74607061544466
"cntrl","30explicit","mi_1905",32,1,5.08454754767841,4.41937464798142
"cntrl","30explicit","hf_1805",33,0,-0.598496397641824,8.25131635854136
"cntrl","30explicit","hf_1805",33,1,-3.36349408245597,8.62471628737834
"cntrl","30explicit","jw_2505",34,0,-5.78800460654134,8.63743783865702
"cntrl","30explicit","jw_2505",34,1,-10.7181151077995,3.25823073284543
"cntrl","30explicit","ho_2405",35,0,-1.02494592097658,2.23261068698857
"cntrl","30explicit","ho_2405",35,1,0.407380761324207,1.7139928532612
"cntrl","30explicit","sk_1705",36,0,-5.61651095257155,2.88305164546524
"cntrl","30explicit","sk_1705",36,1,-7.64496871043473,3.61861045479487
"cntrl","30explicit","ps_1705",37,0,-9.77799744899818,5.94577530126662
"cntrl","30explicit","ps_1705",37,1,-13.1051664382221,5.049609066833
"cntrl","60implicit_b","rd_3105",38,0,-4.82752048616412,22.2358490101377
"cntrl","60implicit_b","rd_3105",38,1,5.74969670388001,17.8346339802242
"cntrl","60implicit_b","cg_2206",39,0,0.844746567089616,8.48713720496561
"cntrl","60implicit_b","cg_2206",39,1,-8.49488199619294,5.82538123039301
"cntrl","60implicit_b","ad_0206",40,0,2.44731368504584,9.21560109239146
"cntrl","60implicit_b","ad_0206",40,1,-4.72847487853198,1.83984289256496
"cntrl","60implicit_b","yl_1005",41,0,-9.37304977652048,9.93621994168204
"cntrl","60implicit_b","yl_1005",41,1,-15.818458810538,8.41573028224456
"cntrl","60implicit_b","ho_1406",42,0,-1.75204751393019,3.9503003318872
"cntrl","60implicit_b","ho_1406",42,1,-6.4203532053716,7.34284372815879
"cntrl","60implicit_b","ap_0106",43,0,-11.7709953032143,6.79597918322817
"cntrl","60implicit_b","ap_0106",43,1,-9.11195273526574,4.86124184859583
"cntrl","60implicit_b","ts_1505",44,0,-7.3462527055099,10.1984283603975
"cntrl","60implicit_b","ts_1505",44,1,-10.4015385706148,2.12672574807371
"cntrl","60implicit_b","mb_1205",45,0,2.7956016901599,8.66476424858367
"cntrl","60implicit_b","mb_1205",45,1,-3.14386272970011,8.31131208045579
"cntrl","60implicit_b","pb_2306",46,0,4.60467955311644,16.4098667192726
"cntrl","60implicit_b","pb_2306",46,1,-4.34400894536979,5.94635848870099
"cntrl","60implicit_b","ss_2505",47,0,-6.70044721936443,14.6539149083926
"cntrl","60implicit_b","ss_2505",47,1,-6.41577382986552,5.40844770071345
"cntrl","60implicit_b","sc_0106",48,0,-7.58200274654229,17.5309037694151
"cntrl","60implicit_b","sc_0106",48,1,-7.27911311330638,11.5341009875078
"cntrl","60implicit_b","ud_2605",49,0,-11.3569814596131,12.2322207973703
"cntrl","60implicit_b","ud_2605",49,1,-8.97271401996496,7.90517473952057
"cntrl","60implicit_b","nb_1505",50,0,-3.89291914786123,5.10962284610208
"cntrl","60implicit_b","nb_1505",50,1,-4.14883527731052,3.11531066231048
"cntrl","60implicit_b","jl_1406",51,0,-21.7801981413121,17.3764684415761
"cntrl","60implicit_b","jl_1406",51,1,-4.82511515749387,2.13336263436304
"cntrl","60implicit_b","dd_1506",52,0,-2.53553679478888,10.3310661199516
"cntrl","60implicit_b","dd_1506",52,1,-4.20702280390866,6.35517006207584
"cntrl","60implicit_b","ss_1005",53,0,-0.028870285820318,28.0937833297975
"cntrl","60implicit_b","ss_1005",53,1,-3.69031029222397,11.9179020406459
"cntrl","60implicit_b","mc_0806",54,0,-3.15978049162262,2.22097093206159
"cntrl","60implicit_b","mc_0806",54,1,-8.33927214479627,3.25629158530473
"cntrl","60implicit_b","ej_2106",55,0,-6.89558199050366,4.41776461674529
"cntrl","60implicit_b","ej_2106",55,1,-14.2124765610858,4.59904474319899
"cntrl","60implicit_b","sh_1005",56,0,9.09336342597181,18.2496314985156
"cntrl","60implicit_b","sh_1005",56,1,-9.73415817780551,3.21087766346647
"cntrl","60explicit_b","vb_0706",57,0,-9.4952131410444,2.25422658898132
"cntrl","60explicit_b","vb_0706",57,1,-8.57158201945028,2.38216106028943
"cntrl","60explicit_b","im_1705",58,0,-62.2679137361155,66.8731892489157
"cntrl","60explicit_b","im_1705",58,1,-1.90901332126562,5.01276441006381
"cntrl","60explicit_b","ns_2405",59,0,-1.51027815364052,2.02742267680974
"cntrl","60explicit_b","ns_2405",59,1,-5.60854716016528,6.36803893600213
"cntrl","60explicit_b","ap_1705",60,0,-1.38895834232158,3.1214275417915
"cntrl","60explicit_b","ap_1705",60,1,-1.81834957975243,3.39958919125514
"cntrl","60explicit_b","rr_2206",61,0,-2.45248964371051,27.5385030754653
"cntrl","60explicit_b","rr_2206",61,1,-9.0548401508071,3.01293517823804
"cntrl","60explicit_b","mb_0206",62,0,-6.97585555412476,12.6751249780138
"cntrl","60explicit_b","mb_0206",62,1,-7.71400127306209,3.68624978056033
"cntrl","60explicit_b","ys_1605",63,0,-9.61703570275588,4.88431248019617
"cntrl","60explicit_b","ys_1605",63,1,-10.9438843962955,7.389931421783
"cntrl","60explicit_b","bg_0705",64,0,-1.60067927758024,14.5791942926843
"cntrl","60explicit_b","bg_0705",64,1,-2.0589109908393,6.08135715451687
"cntrl","60explicit_b","mw_0706",65,0,-21.65079896836,29.0425104073567
"cntrl","60explicit_b","mw_0706",65,1,-5.49565955853893,8.68729518497445
"cntrl","60explicit_b","da_1505",66,0,-8.57696036020168,11.7183960380165
"cntrl","60explicit_b","da_1505",66,1,-1.38663181976472,3.94689122499853
"cntrl","60explicit_b","tp_2405",67,0,-13.4644606561653,9.73581225680384
"cntrl","60explicit_b","tp_2405",67,1,-16.3429361415288,9.87536465347597
"cntrl","60explicit_b","he_0906",68,0,-11.4857325143524,12.9263199600402
"cntrl","60explicit_b","he_0906",68,1,-6.23894812280884,2.40671815934476
"cntrl","60explicit_b","mp_0906",69,0,-8.82373567125629,6.15685285217837
"cntrl","60explicit_b","mp_0906",69,1,-5.61706420256452,4.65005485434528
"cntrl","60explicit_b","ak_0106",70,0,0.99521283263984,12.053859876914
"cntrl","60explicit_b","ak_0106",70,1,-3.437919611046,4.82280480572719
"cntrl","60explicit_b","sa_2106",71,0,0.973088128315368,17.2079718940026
"cntrl","60explicit_b","sa_2106",71,1,-4.24268471793717,5.42427834880143
"cntrl","60explicit_b","nj_3105",72,0,-2.08692812944917,2.90714158155508
"cntrl","60explicit_b","nj_3105",72,1,-6.70724043743194,3.5662095343268
"cntrl","60explicit_b","ag_1606",73,0,-4.11963078864757,5.29983852012398
"cntrl","60explicit_b","ag_1606",73,1,-1.51430201930385,4.14980914849175
"cntrl","60explicit_b","sd_2505",74,0,-4.94362362412084,8.42116808750216
"cntrl","60explicit_b","sd_2505",74,1,-0.14215856551217,4.10742501376237
"cntrl","60explicit_b","at_1605",75,0,1.15970245865846,16.6388722811774
"cntrl","60explicit_b","at_1605",75,1,-5.40944596043611,2.35975043683867
"cntrl","60explicit_b","pa_0906",76,0,16.8200358822274,26.605679506316
"cntrl","60explicit_b","pa_0906",76,1,-5.19842420520126,3.36804617019209
"cntrl","60explicit_b","ym_2206",77,0,-2.94146461810026,1.88908198726198
"cntrl","60explicit_b","ym_2206",77,1,-0.921844005363434,6.96044433244131
"cntrl","60explicit_b","fm_1406",78,0,5.87196730106928,18.923825933916
"cntrl","60explicit_b","fm_1406",78,1,-9.06853539549181,6.6300240417495
"cntrl","60explicit_b","cn_2205",79,0,-4.1525850666799,4.85252673629354
"cntrl","60explicit_b","cn_2205",79,1,-8.57441731484299,8.81375507742445
"cntrl","cursorjump","cp_1201",80,0,-4.5436269632831,2.94243252648148
"cntrl","cursorjump","cp_1201",80,1,-10.8647626377704,4.35254812699571
"cntrl","cursorjump","cr_2206",81,0,-4.04380894087184,4.6512404919436
"cntrl","cursorjump","cr_2206",81,1,-4.72508294436981,2.36175602061794
"cntrl","cursorjump","cr_2106",82,0,-6.69479534620942,5.90997662503771
"cntrl","cursorjump","cr_2106",82,1,-12.9621432517331,7.29490073128771
"cntrl","cursorjump","ar_1908",83,0,-6.60747966285214,4.6977873740614
"cntrl","cursorjump","ar_1908",83,1,-8.58588965181171,3.72665440303032
"cntrl","cursorjump","mc_2110",84,0,-7.78030790934717,4.42829745182329
"cntrl","cursorjump","mc_2110",84,1,-7.49228461338489,3.42510637928079
"cntrl","cursorjump","oi_2006",85,0,-6.25282543399511,4.273768508985
"cntrl","cursorjump","oi_2006",85,1,-1.20096295978175,5.74678049015049
"cntrl","cursorjump","pn_2106",86,0,-6.3372070541024,8.2220208204884
"cntrl","cursorjump","pn_2106",86,1,-6.37491137744038,8.66036535750508
"cntrl","cursorjump","va_0202",87,0,-4.02564612214126,9.80687857312079
"cntrl","cursorjump","va_0202",87,1,-14.9384605350268,19.668567710601
"cntrl","cursorjump","pa_2006",88,0,6.76649043952229,6.35440885412537
"cntrl","cursorjump","pa_2006",88,1,-0.332251843603197,8.19021928494505
"cntrl","cursorjump","rk_1201",89,0,4.73924476283487,6.74835441169957
