"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
1,90,0.039,-4.8971,0.039,-4.8971,528,395,0,-8.5,0,3.5,1,0,3240,1,1,0,1,0,"s19","align_explicit_train_selected",12,90,3.6029,89.379819553149,0.620180446851037,FALSE,"s19"
2,45,3.0213,-5.5849,3.0213,-5.5849,528,395,0,-8.5,8.4853,-0.014719,1,0,944,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,2.9151,43.9751090250842,1.02489097491583,FALSE,"s19"
3,135,-3.1869,-6.5013,-3.1869,-6.5013,528,395,0,-8.5,-8.4853,-0.014719,1,0,581,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,135.000064147469,1.9987,147.905659041578,-12.9056590415781,FALSE,"s19"
4,45,3.503,-5.0786,3.503,-5.0786,528,395,0,-8.5,8.4853,-0.014719,1,0,781,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,3.4214,44.3248340359839,0.675165964016095,FALSE,"s19"
5,135,-2.8931,-6.8996,-2.8931,-6.8996,528,395,0,-8.5,-8.4853,-0.014719,1,0,464,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,135.000064147469,1.6004,151.049585538454,-16.0495855384537,FALSE,"s19"
6,90,-0.5138,-4.5792,-0.5138,-4.5792,528,395,0,-8.5,0,3.5,1,0,561,1,1,0,1,0,"s19","align_explicit_train_selected",12,90,3.9208,97.4657655198752,-7.46576551987525,FALSE,"s19"
7,135,-2.8236,-6.6346,-2.8236,-6.6346,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,135.000064147469,1.8654,146.54941481556,-11.5494148155597,FALSE,"s19"
8,45,3.7331,-4.558,3.7331,-4.558,528,395,0,-8.5,8.4853,-0.014719,1,0,661,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,3.942,46.5590850976821,-1.55908509768205,FALSE,"s19"
9,90,-0.7907,-3.9793,-0.7907,-3.9793,528,395,0,-8.5,0,3.5,1,0,541,1,1,0,1,0,"s19","align_explicit_train_selected",12,90,4.5207,99.9210497371551,-9.92104973715512,FALSE,"s19"
10,135,-3.2039,-6.3795,-3.2039,-6.3795,528,395,0,-8.5,-8.4853,-0.014719,1,0,521,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,135.000064147469,2.1205,146.501431944403,-11.5014319444032,FALSE,"s19"
11,90,-0.8865,-5.4786,-0.8865,-5.4786,528,395,0,-8.5,0,3.5,1,0,481,1,1,0,1,0,"s19","align_explicit_train_selected",12,90,3.0214,106.352059432005,-16.3520594320051,FALSE,"s19"
12,45,4.1069,-4.7963,4.1069,-4.7963,528,395,0,-8.5,8.4853,-0.014719,1,0,621,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,3.7037,42.0448915250381,2.95510847496187,FALSE,"s19"
13,90,-0.8679,-5.2651,-0.8679,-5.2651,528,395,0,-8.5,0,3.5,1,0,620,1,1,0,1,0,"s19","align_explicit_train_selected",12,90,3.2349,105.018360631151,-15.0183606311507,FALSE,"s19"
14,135,-3.6087,-5.4788,-3.6087,-5.4788,528,395,0,-8.5,-8.4853,-0.014719,1,0,621,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,135.000064147469,3.0212,140.063964182669,-5.06396418266942,FALSE,"s19"
15,45,3.641,-5.662,3.641,-5.662,528,395,0,-8.5,8.4853,-0.014719,1,0,721,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,2.838,37.9348538273361,7.0651461726639,FALSE,"s19"
16,45,3.3649,-6.2121,3.3649,-6.2121,528,395,0,-8.5,8.4853,-0.014719,1,0,641,1,1,0,1,0,"s19","align_explicit_train_selected",8.485281,44.9999358525315,2.2879,34.2130007492041,10.7869992507959,FALSE,"s19"
