0	0	0.0	-0.085	0.12	-0.085	749	278	215	233
1	45.0	0.0	-0.085	0.0848528137424	-0.000147186257614	725	294	387	592
2	108.0	0.0	-0.085	-0.037082039325	0.0291267819554	753	287	848	716
3	90	0.0	-0.085	0.0	0.035	728	263	703	719
4	171.0	0.0	-0.085	-0.118522600871	-0.0662278641952	726	246	1235	348
5	90	0.0	-0.085	0.0	0.035	708	266	709	718
6	144.0	0.0	-0.085	-0.097082039325	-0.0144657697249	743	266	1099	537
7	180	0.0	-0.085	-0.12	-0.085	692	264	1242	280
8	0	0.0	-0.085	0.12	-0.085	733	285	249	303
9	90	0.0	-0.085	0.0	0.035	792	291	741	703
10	90	0.0	-0.085	0.0	0.035	763	267	704	740
11	135.0	0.0	-0.085	-0.0848528137424	-0.000147186257614	743	251	1030	581
12	45	0.0	-0.085	-0.12	-0.085	715	272	1225	278
13	9.0	0.0	-0.085	0.118522600871	-0.0662278641952	726	276	277	361
14	0	0.0	-0.085	0.12	-0.085	768	287	237	313
15	63.0	0.0	-0.085	0.0544788599687	0.0219207829026	756	290	511	685
16	72.0	0.0	-0.085	0.037082039325	0.0291267819554	723	249	573	701
17	99.0	0.0	-0.085	-0.0187721358048	0.0335226008714	793	361	808	733
18	81.0	0.0	-0.085	0.0187721358048	0.0335226008714	747	288	646	704
19	153.0	0.0	-0.085	-0.106920782903	-0.0305211400313	759	310	1190	479
20	0	0.0	-0.085	0.12	-0.085	708	306	226	315
21	90	0.0	-0.085	0.0	0.035	741	277	717	739
22	180	0.0	-0.085	-0.12	-0.085	715	279	1229	291
23	36.0	0.0	-0.085	0.097082039325	-0.0144657697249	700	302	350	566
24	18.0	0.0	-0.085	0.114126781955	-0.047917960675	731	316	291	441
25	90	0.0	-0.085	0.0	0.035	712	280	721	742
26	0.0	0.0	-0.085	0.12	-0.085	706	266	236	323
27	126.0	0.0	-0.085	-0.0705342302751	0.012082039325	761	317	991	643
28	54.0	0.0	-0.085	0.0705342302751	0.012082039325	679	281	454	648
29	90.0	0.0	-0.085	0.0	0.035	716	294	714	746
30	90	0.0	-0.085	0.0	0.035	726	309	731	717
31	180	0.0	-0.085	-0.12	-0.085	718	265	1207	300
32	180	0.0	-0.085	-0.12	-0.085	727	310	1215	280
33	135	0.0	-0.085	-0.12	-0.085	738	284	1238	285
34	90	0.0	-0.085	0.0	0.035	713	306	722	743
35	90	0.0	-0.085	0.0	0.035	734	291	725	754
36	162.0	0.0	-0.085	-0.114126781955	-0.047917960675	738	292	1247	426
37	117.0	0.0	-0.085	-0.0544788599687	0.0219207829026	714	309	992	730
38	27.0	0.0	-0.085	0.106920782903	-0.0305211400313	725	295	303	525
39	180.0	0.0	-0.085	-0.12	-0.085	749	302	1220	314
