group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active
handview,bf_3237,46,59.937,50,0,0,6.0442,10.442,6.69183761,10.96154364,1,3927,1,1
handview,bf_3237,47,147.99,130,0,0,-10.312,6.445,-9.41016239,5.973843638,1,4169,1,1
handview,bf_3237,48,79.244,90,0,0,2.2525,11.857,2.78543761,11.59254364,1,4911,1,1
handview,bf_3237,49,73.373,50,0,0,3.4701,11.62,3.47623761,12.45254364,1,4529,1,1
handview,bf_3237,50,110.59,130,0,0,-4.3311,11.526,-3.21706239,11.87954364,1,4387,1,1
handview,bf_3237,51,104.17,90,0,0,-2.9814,11.804,-3.16946239,12.45254364,1,4279,1,1
handview,bf_3237,52,52.709,50,0,0,7.3251,9.6187,6.71563761,8.467843638,1,6534,1,1
handview,bf_3237,53,88.677,90,0,0,0.2771,12.001,0.45113661,12.30954364,1,4749,1,1
handview,bf_3237,54,113.88,130,0,0,-4.9173,11.108,-4.02696239,11.93654364,1,4633,1,1
handview,bf_3237,55,59.458,50,0,0,6.3216,10.714,6.12013761,10.33154364,1,5409,1,1
handview,bf_3237,56,123.87,130,0,0,-6.7979,10.13,-7.24256239,9.987243638,1,4629,1,1
handview,bf_3237,57,95.101,90,0,0,-1.0675,11.958,-0.02525239,11.50654364,1,4025,1,1
handview,bf_3237,58,129.07,130,0,0,-7.5783,9.3353,-6.90906239,10.27354364,1,4249,1,1
handview,bf_3237,59,91.346,90,0,0,-0.2868,12.205,-0.57306239,12.53854364,1,5689,1,1
handview,bf_3237,60,52.239,50,0,0,7.4042,9.5589,5.45323761,10.24554364,1,3988,1,1
handview,bf_3237,61,46.851,50,0,0,8.3139,8.8692,7.64463761,7.951843638,1,4628,1,1
handview,bf_3237,62,94.361,90,0,0,-0.9303,12.198,-0.12053239,12.10854364,1,4983,1,1
handview,bf_3237,63,136.68,130,0,0,-8.8337,8.3295,-9.95776239,6.059843638,1,4622,1,1
handview,bf_3237,118,136.6,130,0,0,-9.0362,8.5452,-8.71936239,7.751243638,2,3750,1,1
handview,bf_3237,119,52.077,50,0,0,7.5029,9.6299,7.07293761,10.70354364,2,3509,1,1
handview,bf_3237,120,111.48,90,0,0,-4.4313,11.261,-4.45566239,11.10554364,2,3529,1,1
handview,bf_3237,121,77.593,90,0,0,2.646,12.028,3.21423761,11.79354364,2,3508,1,1
handview,bf_3237,122,66.948,50,0,0,4.7474,11.156,4.38133761,11.04754364,2,3309,1,1
handview,bf_3237,123,130.67,130,0,0,-8.0038,9.3152,-7.74276239,8.095243638,2,3649,1,1
handview,bf_3237,124,119.39,130,0,0,-5.9595,10.58,-4.62236239,10.76154364,2,3429,1,1
handview,bf_3237,125,93.617,90,0,0,-0.765,12.102,-0.00143239,11.85054364,2,3549,1,1
handview,bf_3237,126,66.342,50,0,0,4.9126,11.213,4.11933761,11.27754364,2,3708,1,1
handview,bf_3237,127,108.02,130,0,0,-3.731,11.471,-4.36036239,11.50654364,2,3483,1,1
handview,bf_3237,128,90.546,90,0,0,-0.115,12.075,0.90370761,11.82154364,2,3830,1,1
handview,bf_3237,129,66.242,50,0,0,4.9894,11.335,3.59533761,11.79354364,2,3649,1,1
handview,bf_3237,130,49.578,50,0,0,7.81,9.1697,7.07293761,9.385243638,2,3569,1,1
handview,bf_3237,131,120.54,130,0,0,-6.2152,10.535,-4.57476239,11.62154364,2,3988,1,1
handview,bf_3237,132,90.972,90,0,0,-0.2062,12.149,0.28439761,11.50654364,2,3409,1,1
handview,bf_3237,133,57.094,50,0,0,6.5785,10.166,6.85853761,9.585843638,2,3529,1,1
handview,bf_3237,134,130.42,130,0,0,-7.9444,9.3265,-7.36166239,9.155843638,2,3329,1,1
handview,bf_3237,135,98.685,90,0,0,-1.8154,11.885,-2.81216239,11.90754364,2,3488,1,1
handview,bf_3237,190,68.724,50,0,0,4.4568,11.445,4.23843761,11.42054364,3,3570,1,1
handview,bf_3237,191,73.906,90,0,0,3.3867,11.738,3.45243761,11.24854364,3,3517,1,1
handview,bf_3237,192,123.36,130,0,0,-6.6805,10.149,-7.50456239,9.413843638,3,3969,1,1
handview,bf_3237,193,123.29,130,0,0,-6.7774,10.32,-7.62366239,9.786543638,3,5888,1,1
handview,bf_3237,194,55.048,50,0,0,6.9842,9.9921,6.33453761,10.24554364,3,3390,1,1
handview,bf_3237,195,96.231,90,0,0,-1.3057,11.959,-3.21706239,11.93654364,3,3489,1,1
handview,bf_3237,196,113.02,130,0,0,-4.7149,11.099,-4.16986239,10.99054364,3,3643,1,1
handview,bf_3237,197,54.34,50,0,0,7.0924,9.8845,5.85813761,9.270543638,3,3758,1,1
handview,bf_3237,198,71.585,90,0,0,3.8814,11.657,3.42853761,11.19154364,3,4358,1,1
handview,bf_3237,199,67.47,50,0,0,4.6815,11.285,4.52423761,10.41754364,3,3449,1,1
handview,bf_3237,200,132.74,130,0,0,-8.3098,8.9928,-6.64706239,8.840543638,3,3881,1,1
handview,bf_3237,201,110.08,90,0,0,-4.1927,11.472,-3.43146239,11.96554364,3,3958,1,1
handview,bf_3237,202,49.956,50,0,0,7.861,9.3537,8.62123761,7.693843638,3,3969,1,1
handview,bf_3237,203,86.548,90,0,0,0.7318,12.131,0.83224761,12.13754364,3,4133,1,1
handview,bf_3237,204,118.82,130,0,0,-5.8348,10.603,-2.83596239,11.79354364,3,4238,1,1
handview,bf_3237,205,55.954,50,0,0,6.7424,9.9786,5.52463761,9.643243638,3,3343,1,1
handview,bf_3237,206,118.64,130,0,0,-5.7699,10.566,-4.19366239,11.62154364,3,3597,1,1
handview,bf_3237,207,102.77,90,0,0,-2.6638,11.754,-1.04946239,12.07954364,3,3440,1,1
handview,bf_3237,262,108.78,130,0,0,-3.8652,11.364,-3.43146239,11.21954364,4,3783,1,1
handview,bf_3237,263,68.563,50,0,0,4.421,11.26,3.83353761,11.96554364,4,3555,1,1
handview,bf_3237,264,84.927,90,0,0,1.0807,12.175,0.76078761,11.96554364,4,3553,1,1
handview,bf_3237,265,106.68,90,0,0,-3.4572,11.536,-3.35996239,11.64954364,4,3619,1,1
handview,bf_3237,266,112.12,130,0,0,-4.5896,11.291,-4.83676239,11.01954364,4,3449,1,1
handview,bf_3237,267,70.121,50,0,0,4.1935,11.597,3.88113761,10.81854364,4,3819,1,1
handview,bf_3237,268,116.63,130,0,0,-5.3888,10.745,-4.71766239,11.56354364,4,3432,1,1
handview,bf_3237,269,69.756,50,0,0,4.1807,11.336,5.88193761,11.70754364,4,3652,1,1
handview,bf_3237,270,79.859,90,0,0,2.1444,11.989,2.90453761,11.13354364,4,3591,1,1
handview,bf_3237,271,107.92,90,0,0,-3.699,11.441,-3.47906239,11.36354364,4,3811,1,1
handview,bf_3237,272,52.489,50,0,0,7.3287,9.547,8.26393761,9.929843638,4,4347,1,1
handview,bf_3237,273,106.3,130,0,0,-3.4178,11.691,-3.02646239,11.62154364,4,3349,1,1
handview,bf_3237,274,102.12,90,0,0,-2.5432,11.843,-3.97926239,10.76154364,4,4307,1,1
handview,bf_3237,275,57.876,50,0,0,6.4844,10.328,4.61953761,11.42054364,4,3668,1,1
handview,bf_3237,276,109.1,130,0,0,-3.9436,11.391,-3.19326239,11.56354364,4,3129,1,1
handview,bf_3237,277,116.27,90,0,0,-5.3492,10.837,-4.26516239,11.04754364,4,3390,1,1
handview,bf_3237,278,67.278,50,0,0,4.6677,11.147,5.50083761,10.04454364,4,3479,1,1
handview,bf_3237,279,113.37,130,0,0,-4.8777,11.288,-3.78876239,10.10154364,4,3401,1,1
handview,bf_3237,73,57.448,50,0,0,6.0681,9.5058,7.14443761,9.471243638,1,4224,1,0
handview,bf_3237,74,146.31,130,0,0,-9.4276,6.2852,-10.41076239,6.145843638,1,3049,1,0
handview,bf_3237,75,78.796,90,0,0,2.177,10.991,2.69013761,11.90754364,1,3148,1,0
handview,bf_3237,76,69.805,50,0,0,3.9599,10.766,3.61913761,11.76454364,1,3346,1,0
handview,bf_3237,77,111.29,130,0,0,-4.1151,10.56,-2.78826239,11.36354364,1,3129,1,0
handview,bf_3237,78,102.94,90,0,0,-2.5393,11.056,-2.52626239,11.79354364,1,2989,1,0
handview,bf_3237,79,51.713,50,0,0,6.9258,8.7738,7.90663761,9.184543638,1,2901,1,0
handview,bf_3237,80,87.464,90,0,0,0.4909,11.083,-0.85896239,12.28054364,1,3179,1,0
handview,bf_3237,81,114.61,130,0,0,-4.7309,10.327,-4.05076239,10.87554364,1,3049,1,0
handview,bf_3237,82,59.581,50,0,0,5.824,9.9193,6.33453761,10.56054364,1,2949,1,0
handview,bf_3237,83,123.04,130,0,0,-6.1397,9.4407,-5.69426239,10.93354364,1,2969,1,0
handview,bf_3237,84,92.274,90,0,0,-0.4476,11.271,-0.23962239,11.53554364,1,3189,1,0
handview,bf_3237,85,127.87,130,0,0,-6.9522,8.9409,-9.69576239,8.439243638,1,2949,1,0
handview,bf_3237,86,89.895,90,0,0,0.0208,11.369,-0.81126239,12.16554364,1,3078,1,0
handview,bf_3237,87,52.347,50,0,0,6.8547,8.8839,7.21583761,10.04454364,1,2950,1,0
handview,bf_3237,88,46.946,50,0,0,7.6607,8.1996,8.02573761,9.757843638,1,2963,1,0
handview,bf_3237,89,92.432,90,0,0,-0.4811,11.326,-3.02646239,12.36654364,1,2901,1,0
handview,bf_3237,90,135.91,130,0,0,-8.1028,7.8489,-9.17196239,7.894543638,1,3209,1,0
handview,bf_3237,145,134.04,130,0,0,-8.1269,8.4036,-8.45736239,7.263843638,2,6252,1,0
handview,bf_3237,146,50.208,50,0,0,7.3068,8.7723,6.71563761,9.643243638,2,2579,1,0
handview,bf_3237,147,107.64,90,0,0,-3.4868,10.964,-3.64576239,11.70754364,2,2545,1,0
handview,bf_3237,148,76.246,90,0,0,2.7261,11.137,3.66673761,11.59254364,2,2592,1,0
