group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active
aging_implicit,jc_2309,388,134.2,130,0,0,-8.4251,8.6637,-10.884205060101,5.19271493129801,3,3569,1,1
aging_implicit,jc_2309,389,62.233,50,0,0,5.6088,10.653,12.172994939899,4.30411493129801,3,5376,1,1
aging_implicit,jc_2309,390,94.927,90,0,0,-1.0354,12.012,5.28919493989904,9.69341493129802,3,3821,1,1
aging_implicit,jc_2309,391,130.53,130,0,0,-7.8213,9.1493,-10.693705060101,5.88071493129801,3,3419,1,1
aging_implicit,jc_2309,392,113.27,90,0,0,-4.8166,11.2,-3.26200506010096,12.072414931298,3,3649,1,1
aging_implicit,jc_2309,393,72.62,50,0,0,3.6073,11.525,8.90999493989904,7.62941493129801,3,3594,1,1
aging_implicit,jc_2309,394,108.93,130,0,0,-3.8928,11.353,-2.73798006010096,11.728414931298,3,3550,1,1
aging_implicit,jc_2309,395,103.3,90,0,0,-2.7761,11.743,-2.78561906010096,12.072414931298,3,3794,1,1
aging_implicit,jc_2309,396,62.732,50,0,0,5.5436,10.755,10.290994939899,7.91611493129801,3,3869,1,1
aging_implicit,jc_2309,523,108.73,90,0,0,-3.8591,11.38,-6.09650506010096,12.072414931298,4,4973,1,1
aging_implicit,jc_2309,524,69.869,50,0,0,4.1428,11.302,5.19389493989904,12.072414931298,4,3940,1,1
aging_implicit,jc_2309,525,103.02,130,0,0,-2.7308,11.812,-1.95193506010096,12.072414931298,4,4029,1,1
aging_implicit,jc_2309,526,64.966,50,0,0,5.0837,10.885,6.14669493989904,9.43541493129802,4,3942,1,1
aging_implicit,jc_2309,527,105.94,130,0,0,-3.3039,11.566,-4.02420506010096,12.072414931298,4,4670,1,1
aging_implicit,jc_2309,528,92.511,90,0,0,-0.5302,12.09,-0.761005060100957,12.072414931298,4,4472,1,1
aging_implicit,jc_2309,529,112.38,90,0,0,-4.5847,11.134,-6.54910506010096,12.072414931298,4,4049,1,1
aging_implicit,jc_2309,530,110.79,130,0,0,-4.3217,11.381,-6.28710506010096,12.072414931298,4,3949,1,1
aging_implicit,jc_2309,531,75.214,50,0,0,3.1366,11.883,6.67069493989904,10.152414931298,4,3804,1,1
aging_implicit,jc_2309,532,88.246,90,0,0,0.3718,12.144,2.93109493989904,11.499414931298,4,3649,1,1
