Trial#	TargetAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	121.129338591	0	-0.085	-0.057676	0.0105	1260	652	1	3414
74	50.5354681277	0	-0.085	0.072586	0.003165	416	805	1	6126
75	87.9396057503	0	-0.085	0.004131	0.029826	728	899	1	2069
76	136.246744337	0	-0.085	-0.081574	-0.006901	1064	853	1	7036
77	100.64961194	0	-0.085	-0.021539	0.029544	1053	767	1	2208
78	48.2500593304	0	-0.085	0.075452	-0.000463	373	804	1	1970
79	61.6613702664	0	-0.085	0.055688	0.018257	531	853	1	1949
80	84.1782431366	0	-0.085	0.011606	0.028829	715	899	1	1930
81	130.988629598	0	-0.085	-0.073772	-0.000101	1040	759	1	1869
82	72.9952114918	0	-0.085	0.035572	0.031316	557	835	1	1950
83	67.6495917642	0	-0.085	0.044491	0.023209	451	807	1	2028
84	121.396223292	0	-0.085	-0.05903	0.011721	1111	692	1	4177
85	111.721869107	0	-0.085	-0.04208	0.020625	852	899	1	2118
86	77.1740256458	0	-0.085	0.025139	0.025418	708	899	1	1929
87	41.2440799426	0	-0.085	0.086205	-0.009416	108	649	1	2993
88	51.0692389834	0	-0.085	0.072321	0.00453	219	852	1	2213
89	77.177345993	0	-0.085	0.025257	0.025966	682	899	1	2013
90	123.394242685	0	-0.085	-0.061941	0.008959	1018	818	1	1949
145	84.5399501222	0	-0.085	0.011036	0.030457	733	899	2	2069
146	115.658108337	0	-0.085	-0.048544	0.016056	972	867	2	1910
147	50.0710292603	0	-0.085	0.073604	0.002939	198	704	2	1889
148	50.2918707236	0	-0.085	0.073879	0.003962	290	776	2	2208
149	83.2786509406	0	-0.085	0.013476	0.029348	666	874	2	1929
150	129.373285751	0	-0.085	-0.072075	0.002829	1092	670	2	2634
151	49.234894051	0	-0.085	0.073572	0.000339	221	776	2	2174
152	78.9533207698	0	-0.085	0.021248	0.023838	548	899	2	1849
153	129.082448359	0	-0.085	-0.072171	0.003862	1082	761	2	1949
154	114.694859545	0	-0.085	-0.047856	0.019071	816	863	2	1909
155	78.5043256626	0	-0.085	0.022835	0.027281	580	899	2	1910
156	43.3920222757	0	-0.085	0.082731	-0.006787	140	631	2	1869
157	53.846036153	0	-0.085	0.068377	0.008583	322	800	2	1889
158	122.290582006	0	-0.085	-0.06018	0.01023	987	788	2	1809
159	86.1128707259	0	-0.085	0.007763	0.02925	627	899	2	1829
160	138.766052014	0	-0.085	-0.085671	-0.009911	1186	611	2	1829
161	48.5947163619	0	-0.085	0.07638	0.00162	173	715	2	1849
162	84.0003214549	0	-0.085	0.011964	0.028836	648	899	2	1828
217	85.1527171866	0	-0.085	0.009989	0.03279	630	899	3	2372
218	124.000222587	0	-0.085	-0.064837	0.011124	1017	744	3	2507
219	44.4397958342	0	-0.085	0.091242	0.004475	247	795	3	2909
220	86.5279649891	0	-0.085	0.006867	0.028181	733	899	3	1929
221	124.535416088	0	-0.085	-0.064445	0.008644	956	771	3	1869
222	54.0520873267	0	-0.085	0.068187	0.009031	274	813	3	1889
223	55.0104636883	0	-0.085	0.065017	0.00789	268	775	3	1789
224	83.26784883	0	-0.085	0.013593	0.030154	630	899	3	1809
225	129.531143245	0	-0.085	-0.073368	0.003904	1051	737	3	1909
226	53.1288764133	0	-0.085	0.067302	0.004732	288	710	3	3633
227	115.004256945	0	-0.085	-0.04967	0.021497	911	899	3	1789
228	81.569605728	0	-0.085	0.017161	0.030789	544	876	3	2136
229	116.652031849	0	-0.085	-0.050611	0.015839	905	847	3	1769
230	48.5021251411	0	-0.085	0.076201	0.001136	184	653	3	1889
231	88.7698151824	0	-0.085	0.002427	0.02802	679	899	3	1770
232	54.3227984805	0	-0.085	0.06668	0.007873	271	747	3	3650
233	86.7387260409	0	-0.085	0.006438	0.027984	597	899	3	1790
234	119.155257044	0	-0.085	-0.0567	0.016639	965	803	3	1750
289	88.1660755269	0	-0.085	0.003581	0.02684	678	865	4	2021
290	48.6942812437	0	-0.085	0.076416	0.001965	252	708	4	1789
291	122.633775763	0	-0.085	-0.061888	0.011646	1144	704	4	1789
292	55.4772063578	0	-0.085	0.066915	0.012279	270	773	4	1809
293	88.2799591577	0	-0.085	0.003422	0.028955	694	874	4	1829
294	128.547685629	0	-0.085	-0.069377	0.00207	1134	666	4	1789
295	84.1787270389	0	-0.085	0.011917	0.031889	787	879	4	1869
296	51.5062817439	0	-0.085	0.071795	0.005279	225	758	4	1870
297	118.647163967	0	-0.085	-0.055247	0.016132	999	780	4	1849
298	85.2578323904	0	-0.085	0.009672	0.031592	769	899	4	1870
299	110.575039846	0	-0.085	-0.041316	0.025065	868	899	4	1970
300	55.867037575	0	-0.085	0.067707	0.014879	252	795	4	7095
301	95.6102194219	0	-0.085	-0.01085	0.025454	733	899	4	1869
302	145.789781977	0	-0.085	-0.095452	-0.020106	1196	568	4	1869
303	42.042700693	0	-0.085	0.084757	-0.00857	193	658	4	1889
304	58.9498892888	0	-0.085	0.058104	0.01151	378	838	4	1829
305	85.8321395822	0	-0.085	0.00838	0.029997	590	899	4	1829
306	128.643010538	0	-0.085	-0.072518	0.005702	1115	653	4	1829
