Trial#	TargetAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	122.678557123	0	-0.085	-0.065173	0.016601	982	756	1	52859
47	51.478170965	0	-0.085	0.075893	0.010336	265	704	1	15822
48	88.9082277565	0	-0.085	0.002337	0.03763	605	899	1	3981
49	138.776067198	0	-0.085	-0.090343	-0.005844	1175	604	1	3269
50	104.958100666	0	-0.085	-0.031167	0.031658	837	866	1	4471
51	50.895950424	0	-0.085	0.075859	0.008331	209	702	1	4051
52	64.6205362646	0	-0.085	0.053092	0.026915	428	899	1	3019
53	86.6526950113	0	-0.085	0.007148	0.037213	582	899	1	4049
54	132.659172721	0	-0.085	-0.082508	0.004541	1097	658	1	5545
55	77.324211067	0	-0.085	0.026897	0.034587	484	899	1	3769
56	65.566597804	0	-0.085	0.050742	0.026687	1439	0	1	4927
57	119.878538769	0	-0.085	-0.060392	0.020116	1154	757	1	3539
58	111.051394261	0	-0.085	-0.044063	0.029481	1125	647	1	4071
59	77.685939437	0	-0.085	0.025891	0.033607	713	899	1	3164
60	39.5013689263	0	-0.085	0.094509	-0.007089	1439	0	1	4170
61	52.0890481121	0	-0.085	0.0758	0.012331	371	803	1	2814
62	77.5859412853	0	-0.085	0.026196	0.034007	632	899	1	3870
63	124.121260845	0	-0.085	-0.068159	0.01559	1080	753	1	8626
118	85.6355923176	0	-0.085	0.009409	0.038282	704	899	2	2690
119	115.611343325	0	-0.085	-0.052601	0.024731	925	868	2	2329
120	49.5502450065	0	-0.085	0.080298	0.009184	290	770	2	3926
121	49.7133596529	0	-0.085	0.079308	0.008561	209	778	2	2069
122	84.9927870851	0	-0.085	0.01059	0.035869	659	899	2	2089
123	130.047370376	0	-0.085	-0.078591	0.008504	1138	714	2	4709
124	49.7978453818	0	-0.085	0.078543	0.007936	227	711	2	5600
125	79.9647923824	0	-0.085	0.020944	0.033354	496	899	2	2370
126	128.751219588	0	-0.085	-0.076529	0.010349	1030	758	2	5715
127	113.795619779	0	-0.085	-0.049049	0.026232	1037	754	2	4271
128	79.1571029818	0	-0.085	0.023205	0.036152	695	899	2	2189
129	42.4677668141	0	-0.085	0.090882	-0.001816	275	827	2	2030
130	55.2313955922	0	-0.085	0.071179	0.017533	328	819	2	2109
131	121.662528744	0	-0.085	-0.063843	0.018522	1024	797	2	2049
132	87.0552068448	0	-0.085	0.006298	0.03743	690	899	2	2031
133	140.581304415	0	-0.085	-0.095027	-0.006892	1159	606	2	2049
134	46.5473989901	0	-0.085	0.083346	0.002974	137	616	2	1909
135	84.8226347575	0	-0.085	0.010973	0.036103	714	899	2	1969
190	87.471015475	0	-0.085	0.005453	0.038461	577	861	3	3304
191	124.056897333	0	-0.085	-0.068971	0.017035	1082	720	3	3565
192	41.4011160059	0	-0.085	0.090539	-0.005176	227	731	3	2029
193	86.9442850442	0	-0.085	0.006432	0.035488	735	899	3	1989
194	124.421105453	0	-0.085	-0.069857	0.016943	939	703	3	2575
195	54.1352793248	0	-0.085	0.072498	0.015282	348	811	3	2089
196	54.0266628884	0	-0.085	0.070749	0.012473	296	819	3	2171
197	83.7449462494	0	-0.085	0.013571	0.038815	544	899	3	2090
198	129.326721322	0	-0.085	-0.079148	0.011608	1141	638	3	2280
199	54.0059799249	0	-0.085	0.071702	0.013711	278	812	3	2009
200	116.610712089	0	-0.085	-0.055551	0.025881	1087	774	3	1850
201	82.245945251	0	-0.085	0.016795	0.038342	665	899	3	1869
202	116.930918294	0	-0.085	-0.055193	0.023646	1000	830	3	1789
203	46.1930967763	0	-0.085	0.083312	0.001856	262	673	3	3178
204	89.8834513364	0	-0.085	0.000247	0.036426	630	899	3	2656
205	55.2580091619	0	-0.085	0.069134	0.014686	326	824	3	2448
206	89.3161049729	0	-0.085	0.001451	0.036557	745	899	3	4688
207	119.319319449	0	-0.085	-0.060562	0.022835	921	856	3	2009
262	89.415572603	0	-0.085	0.001233	0.035876	790	877	4	3886
263	47.7842352192	0	-0.085	0.083336	0.006856	333	732	4	2920
264	123.49264868	0	-0.085	-0.067428	0.016901	1100	785	4	3242
265	55.18704588	0	-0.085	0.070949	0.017033	279	800	4	1909
266	88.7533198359	0	-0.085	0.002656	0.037047	714	899	4	1930
267	127.402430751	0	-0.085	-0.073365	0.010949	1082	732	4	2784
268	85.7733311426	0	-0.085	0.009125	0.038472	688	899	4	2029
269	53.138721346	0	-0.085	0.073375	0.012864	316	812	4	2109
270	118.502098444	0	-0.085	-0.059303	0.024213	982	819	4	1849
271	86.3596759548	0	-0.085	0.007933	0.039691	681	899	4	1889
272	112.072257703	0	-0.085	-0.046897	0.030654	864	875	4	1929
273	59.1682856221	0	-0.085	0.064037	0.022288	339	784	4	1889
274	96.8182504833	0	-0.085	-0.01431	0.034683	844	810	4	1850
275	148.081893449	0	-0.085	-0.103838	-0.020321	1206	570	4	1809
276	42.1883881715	0	-0.085	0.090457	-0.003012	274	695	4	2009
277	60.8844579571	0	-0.085	0.059188	0.021272	355	792	4	2110
278	88.3227276293	0	-0.085	0.003592	0.037668	749	899	4	1969
279	128.839887269	0	-0.085	-0.078842	0.01292	1156	495	4	1870
