trial	targetangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	121.13	0	0	-5.7676	9.55	-13.263	7.3907	1	3414	0
74	50.535	0	0	7.2586	8.8165	6.8411	11.777	1	6126	1
75	87.94	0	0	0.4131	11.483	-0.59056	14.471	1	2069	0
76	136.25	0	0	-8.1574	7.8099	-8.5939	13.153	1	7036	1
77	100.65	0	0	-2.1539	11.454	-8.3319	10.687	1	2208	1
78	48.25	0	0	7.5452	8.4537	7.8653	11.748	1	1970	1
79	61.661	0	0	5.5688	10.326	4.1019	13.153	1	1949	1
80	84.178	0	0	1.1606	11.383	-0.28091	14.471	1	1930	0
81	130.99	0	0	-7.3772	8.4899	-8.0222	10.458	1	1869	1
82	72.995	0	0	3.5572	11.632	3.4826	12.637	1	1950	1
83	67.65	0	0	4.4491	10.821	6.0074	11.834	1	2028	1
84	121.4	0	0	-5.903	9.6721	-9.7134	8.5373	1	4177	1
85	111.72	0	0	-4.208	10.563	-3.5442	14.471	1	2118	0
86	77.174	0	0	2.5139	11.042	-0.11417	14.471	1	1929	0
87	41.244	0	0	8.6205	7.5584	14.177	7.3047	1	2993	0
88	51.069	0	0	7.2321	8.953	11.534	13.124	1	2213	0
89	77.177	0	0	2.5257	11.097	0.50514	14.471	1	2013	0
90	123.39	0	0	-6.1941	9.3959	-7.4982	12.149	1	1949	1
145	84.54	0	0	1.1036	11.546	-0.70966	14.471	2	2069	0
146	115.66	0	0	-4.8544	10.106	-6.4025	13.554	2	1910	1
147	50.071	0	0	7.3604	8.7939	12.034	8.8813	2	1889	1
148	50.292	0	0	7.3879	8.8962	9.8424	10.945	2	2208	1
149	83.279	0	0	1.3476	11.435	0.88625	13.755	2	1929	1
150	129.37	0	0	-7.2075	8.7829	-9.2608	7.9067	2	2634	1
151	49.235	0	0	7.3572	8.5339	11.486	10.945	2	2174	1
152	78.953	0	0	2.1248	10.884	3.6969	14.471	2	1849	0
153	129.08	0	0	-7.2171	8.8862	-9.0226	10.515	2	1949	1
154	114.69	0	0	-4.7856	10.407	-2.6867	13.439	2	1909	1
155	78.504	0	0	2.2835	11.228	2.9347	14.471	2	1910	0
156	43.392	0	0	8.2731	7.8213	13.415	6.7887	2	1869	1
157	53.846	0	0	6.8377	9.3583	9.0801	11.633	2	1889	1
158	122.29	0	0	-6.018	9.523	-6.7598	11.289	2	1809	1
159	86.113	0	0	0.7763	11.425	1.8152	14.471	2	1829	0
160	138.77	0	0	-8.5671	7.5089	-11.5	6.2153	2	1829	1
161	48.595	0	0	7.638	8.662	12.629	9.1967	2	1849	1
162	84	0	0	1.1964	11.384	1.315	14.471	2	1828	0
217	85.153	0	0	0.9989	11.779	1.7437	14.471	3	2372	0
218	124	0	0	-6.4837	9.6124	-7.4744	10.028	3	2507	1
219	44.44	0	0	9.1242	8.9475	10.867	11.49	3	2909	1
220	86.528	0	0	0.6867	11.318	-0.70966	14.471	3	1929	0
221	124.54	0	0	-6.4445	9.3644	-6.0214	10.802	3	1869	1
222	54.052	0	0	6.8187	9.4031	10.223	12.006	3	1889	1
223	55.01	0	0	6.5017	9.289	10.366	10.917	3	1789	1
224	83.268	0	0	1.3593	11.515	1.7437	14.471	3	1809	0
225	129.53	0	0	-7.3368	8.8904	-8.2842	9.8273	3	1909	1
226	53.129	0	0	6.7302	8.9732	9.89	9.0533	3	3633	1
227	115	0	0	-4.967	10.65	-4.9495	14.471	3	1789	0
228	81.57	0	0	1.7161	11.579	3.7922	13.812	3	2136	1
229	116.65	0	0	-5.0611	10.084	-4.8066	12.981	3	1769	1
230	48.502	0	0	7.6201	8.6136	12.367	7.4193	3	1889	1
231	88.77	0	0	0.2427	11.302	0.57659	14.471	3	1770	0
232	54.323	0	0	6.668	9.2873	10.295	10.114	3	3650	1
233	86.739	0	0	0.6438	11.298	2.5298	14.471	3	1790	0
234	119.16	0	0	-5.67	10.164	-6.2358	11.719	3	1750	1
289	88.166	0	0	0.3581	11.184	0.60041	13.497	4	2021	1
290	48.694	0	0	7.6416	8.6965	10.747	8.996	4	1789	1
291	122.63	0	0	-6.1888	9.6646	-10.499	8.8813	4	1789	1
292	55.477	0	0	6.6915	9.7279	10.319	10.859	4	1809	1
293	88.28	0	0	0.3422	11.396	0.2193	13.755	4	1829	1
294	128.55	0	0	-6.9377	8.707	-10.261	7.792	4	1789	1
295	84.179	0	0	1.1917	11.689	-1.9959	13.898	4	1869	1
296	51.506	0	0	7.1795	9.0279	11.391	10.429	4	1870	1
297	118.65	0	0	-5.5247	10.113	-7.0456	11.06	4	1849	1
298	85.258	0	0	0.9672	11.659	-1.5672	14.471	4	1870	0
299	110.58	0	0	-4.1316	11.006	-3.9253	14.471	4	1970	0
300	55.867	0	0	6.7707	9.9879	10.747	11.49	4	7095	1
301	95.61	0	0	-1.085	11.045	-0.70966	14.471	4	1869	0
302	145.79	0	0	-9.5452	6.4894	-11.738	4.9827	4	1869	1
303	42.043	0	0	8.4757	7.643	12.153	7.5627	4	1889	1
304	58.95	0	0	5.8104	9.651	7.7462	12.723	4	1829	1
305	85.832	0	0	0.838	11.5	2.6965	14.471	4	1829	0
306	128.64	0	0	-7.2518	9.0702	-9.8087	7.4193	4	1829	1
