trial	targetangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	103.43	0	0	-2.6299	11.018	-6.5692	13.812	1	2049	0
140	58.5	0	0	5.9531	9.7144	12.51	6.2727	1	1989	1
141	133.18	0	0	-7.9009	8.4189	-10.761	4.9827	1	2564	1
142	58.26	0	0	6.0909	9.8468	12.081	6.76	1	1989	1
143	129.92	0	0	-7.3053	8.7319	-8.046	9.9133	1	1989	1
144	97.092	0	0	-1.4188	11.404	-5.5212	11.662	1	1909	1
145	92.194	0	0	-0.4364	11.39	3.5064	12.063	1	2410	1
146	129.89	0	0	-7.3494	8.7926	-9.3799	5.1833	1	2834	1
147	61.552	0	0	5.4643	10.086	10.223	7.6487	1	1869	1
148	127.52	0	0	-6.9584	9.0627	-8.3081	7.9353	1	1850	1
149	59.524	0	0	5.9146	10.05	10.295	8.3367	1	1790	1
150	90.957	0	0	-0.1899	11.366	0.17166	11.318	1	3303	1
151	136.26	0	0	-8.4301	8.0675	-9.5705	7.9067	1	1810	1
152	47.758	0	0	7.6641	8.4399	9.9138	8.0787	1	1889	1
153	79.81	0	0	1.9571	10.888	3.3873	12.321	1	1809	1
154	52.194	0	0	7.0143	9.0408	8.5323	4.9827	1	2381	1
155	105.73	0	0	-3.1619	11.228	-6.0452	9.6267	1	2643	1
156	135.72	0	0	-8.0503	7.8516	-10.952	3.2053	1	2765	1
283	70.413	0	0	3.8985	10.956	4.9594	13.067	2	1890	1
284	120.22	0	0	-5.8266	10.001	-7.7126	7.4193	2	1768	1
285	107.74	0	0	-3.5425	11.076	-6.2596	9.426	2	1769	1
286	85.85	0	0	0.8411	11.593	-1.6863	11.691	2	1750	1
287	150.16	0	0	-10.236	5.8728	-11.833	1.514	2	1929	1
288	40.872	0	0	8.5111	7.3653	9.1516	6.7887	2	1829	1
289	95.82	0	0	-1.1741	11.518	-3.8062	9.9707	2	2473	1
290	91.888	0	0	-0.38	11.531	-4.4017	9.6267	2	1830	1
291	31.488	0	0	9.7629	5.98	11.391	3.4347	2	2371	1
292	103.37	0	0	-2.6503	11.153	-3.9491	9.512	2	1890	1
293	65.103	0	0	4.7936	10.329	4.4115	9.9133	2	3523	1
294	77.84	0	0	2.4651	11.44	3.1967	10.028	2	2630	1
295	103.59	0	0	-2.7081	11.207	-2.3294	9.8847	2	1989	1
296	59.796	0	0	5.8216	10.001	8.2465	7.4767	2	1889	1
297	78.328	0	0	2.3145	11.204	1.8628	11.691	2	1829	1
298	87.992	0	0	0.3946	11.255	1.5294	11.031	2	1869	1
299	97.567	0	0	-1.4833	11.165	-3.9015	9.8273	2	2381	1
300	103.76	0	0	-2.7241	11.121	-7.0218	9.082	2	1849	1
427	66.911	0	0	4.5524	10.679	6.9126	9.598	3	1850	1
428	111.82	0	0	-4.3572	10.884	-6.2834	9.4547	3	1889	1
429	119.72	0	0	-6.424	11.252	-8.2604	6.9033	3	2989	1
430	106.7	0	0	-3.3614	11.203	-4.1397	10.945	3	2089	1
431	98.652	0	0	-1.711	11.245	-6.9504	10.945	3	1829	1
432	69.651	0	0	4.0602	10.947	1.8152	10.601	3	1909	1
433	110.91	0	0	-4.1956	10.982	-5.4974	9.856	3	1809	1
434	74.597	0	0	3.1183	11.319	8.6514	7.6487	3	1849	1
435	89.924	0	0	0.0154	11.578	-5.8308	9.9707	3	1809	1
436	111.54	0	0	-4.4217	11.202	-4.1635	9.1107	3	2010	1
437	98.279	0	0	-1.681	11.552	-7.8317	7.964	3	1831	1
438	53.891	0	0	6.8254	9.3569	10.152	6.416	3	7032	1
439	108.78	0	0	-3.6765	10.812	-4.8781	8.2793	3	1769	1
440	102.63	0	0	-2.501	11.163	-5.5688	9.6267	3	2436	1
441	66.277	0	0	4.4543	10.136	5.4596	9.1393	3	1749	1
442	114.01	0	0	-5.0776	11.4	-9.4038	7.362	3	1849	1
443	97.308	0	0	-1.4351	11.19	-3.2345	9.3113	3	1809	1
444	87.883	0	0	0.4327	11.705	0.76715	9.6553	3	2643	1
571	95.678	0	0	-1.1606	11.672	-1.1146	11.203	4	1830	1
572	108.73	0	0	-3.7801	11.147	-3.6394	10.859	4	1730	1
573	82.636	0	0	1.4999	11.605	0.98153	9.7127	4	2904	1
574	89.505	0	0	0.0982	11.369	-4.2826	8.05	4	1730	1
575	64.946	0	0	4.8463	10.367	1.4103	8.1647	4	1770	1
576	90.379	0	0	-0.0752	11.359	-0.54292	11.318	4	1789	1
577	80.779	0	0	1.825	11.242	-8.046	9.5693	4	1749	0
578	52.391	0	0	7.1933	9.3378	2.6012	10.888	4	1850	1
579	95.638	0	0	-1.143	11.579	-3.9015	8.824	4	1809	1
580	103.18	0	0	-2.5708	10.974	-5.7594	6.0433	4	1789	1
581	66.345	0	0	4.6157	10.537	2.101	9.1967	4	1889	1
582	78.938	0	0	2.1442	10.967	3.959	10.601	4	3922	1
583	106.02	0	0	-3.2001	11.147	-5.2354	8.996	4	3212	1
584	76.943	0	0	2.4889	10.732	1.6723	10.2	4	1769	1
585	62.533	0	0	5.2638	10.126	5.3643	10.745	4	1809	1
586	93.548	0	0	-0.7038	11.35	-4.8066	8.9673	4	1836	1
587	96.624	0	0	-1.3216	11.38	-7.4982	8.5087	4	1829	1
588	77.27	0	0	2.5126	11.122	1.9581	11.289	4	1948	1
