trial	targetangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	122.68	0	0	-6.5173	10.16	-6.6407	10.372	1	52859	1
47	51.478	0	0	7.5893	9.5336	10.438	8.8813	1	15822	1
48	88.908	0	0	0.2337	12.263	2.3392	14.471	1	3981	0
49	138.78	0	0	-9.0343	7.9156	-11.238	6.0147	1	3269	1
50	104.96	0	0	-3.1167	11.666	-3.1869	13.525	1	4471	1
51	50.896	0	0	7.5859	9.3331	11.772	8.824	1	4051	1
52	64.621	0	0	5.3092	11.191	6.5553	14.471	1	3019	0
53	86.653	0	0	0.7148	12.221	2.8871	14.471	1	4049	0
54	132.66	0	0	-8.2508	8.9541	-9.3799	7.5627	1	5545	1
55	77.324	0	0	2.6897	11.959	5.2214	14.471	1	3769	0
56	65.567	0	0	5.0742	11.169	-17.526	-11.3	1	4927	0
57	119.88	0	0	-6.0392	10.512	-10.738	10.401	1	3539	1
58	111.05	0	0	-4.4063	11.448	-10.047	7.2473	1	4071	1
59	77.686	0	0	2.5891	11.861	-0.23327	14.471	1	3164	0
60	39.501	0	0	9.4509	7.7911	-17.526	-11.3	1	4170	0
61	52.089	0	0	7.58	9.7331	7.913	11.719	1	2814	1
62	77.586	0	0	2.6196	11.901	1.6961	14.471	1	3870	0
63	124.12	0	0	-6.8159	10.059	-8.975	10.286	1	8626	1
118	85.636	0	0	0.9409	12.328	-0.018892	14.471	2	2690	0
119	115.61	0	0	-5.2601	10.973	-5.283	13.583	2	2329	1
120	49.55	0	0	8.0298	9.4184	9.8424	10.773	2	3926	1
121	49.713	0	0	7.9308	9.3561	11.772	11.003	2	2069	1
122	84.993	0	0	1.059	12.087	1.053	14.471	2	2089	0
123	130.05	0	0	-7.8591	9.3504	-10.357	9.168	2	4709	1
124	49.798	0	0	7.8543	9.2936	11.343	9.082	2	5600	1
125	79.965	0	0	2.0944	11.835	4.9356	14.471	2	2370	0
126	128.75	0	0	-7.6529	9.5349	-7.784	10.429	2	5715	1
127	113.8	0	0	-4.9049	11.123	-7.9508	10.315	2	4271	1
128	79.157	0	0	2.3205	12.115	0.19548	14.471	2	2189	0
129	42.468	0	0	9.0882	8.3184	10.2	12.407	2	2030	1
130	55.231	0	0	7.1179	10.253	8.9372	12.178	2	2109	1
131	121.66	0	0	-6.3843	10.352	-7.6411	11.547	2	2049	1
132	87.055	0	0	0.6298	12.243	0.31458	14.471	2	2031	0
133	140.58	0	0	-9.5027	7.8108	-10.857	6.072	2	2049	1
134	46.547	0	0	8.3346	8.7974	13.487	6.3587	2	1909	1
135	84.823	0	0	1.0973	12.11	-0.25709	14.471	2	1969	0
190	87.471	0	0	0.5453	12.346	3.0062	13.382	3	3304	1
191	124.06	0	0	-6.8971	10.204	-9.0226	9.34	3	3565	1
192	41.401	0	0	9.0539	7.9824	11.343	9.6553	3	2029	1
193	86.944	0	0	0.6432	12.049	-0.75729	14.471	3	1989	0
194	124.42	0	0	-6.9857	10.194	-5.6165	8.8527	3	2575	1
195	54.135	0	0	7.2498	10.028	8.4608	11.949	3	2089	1
196	54.027	0	0	7.0749	9.7473	9.6994	12.178	3	2171	1
197	83.745	0	0	1.3571	12.381	3.7922	14.471	3	2090	0
198	129.33	0	0	-7.9148	9.6608	-10.428	6.9893	3	2280	1
199	54.006	0	0	7.1702	9.8711	10.128	11.977	3	2009	1
200	116.61	0	0	-5.5551	11.088	-9.1417	10.888	3	1850	1
201	82.246	0	0	1.6795	12.334	0.91007	14.471	3	1869	0
202	116.93	0	0	-5.5193	10.865	-7.0694	12.493	3	1789	1
203	46.193	0	0	8.3312	8.6856	10.509	7.9927	3	3178	1
204	89.883	0	0	0.0247	12.143	1.7437	14.471	3	2656	0
205	55.258	0	0	6.9134	9.9686	8.9849	12.321	3	2448	1
206	89.316	0	0	0.1451	12.156	-0.99549	14.471	3	4688	0
207	119.32	0	0	-6.0562	10.784	-5.1877	13.239	3	2009	1
262	89.416	0	0	0.1233	12.088	-2.0674	13.841	4	3886	1
263	47.784	0	0	8.3336	9.1856	8.8181	9.684	4	2920	1
264	123.49	0	0	-6.7428	10.19	-9.4514	11.203	4	3242	1
265	55.187	0	0	7.0949	10.203	10.104	11.633	4	1909	1
266	88.753	0	0	0.2656	12.205	-0.25709	14.471	4	1930	0
267	127.4	0	0	-7.3365	9.5949	-9.0226	9.684	4	2784	1
268	85.773	0	0	0.9125	12.347	0.36222	14.471	4	2029	0
269	53.139	0	0	7.3375	9.7864	9.2231	11.977	4	2109	1
270	118.5	0	0	-5.9303	10.921	-6.6407	12.178	4	1849	1
271	86.36	0	0	0.7933	12.469	0.52896	14.471	4	1889	0
272	112.07	0	0	-4.6897	11.565	-3.83	13.783	4	1929	1
273	59.168	0	0	6.4037	10.729	8.6752	11.175	4	1889	1
274	96.818	0	0	-1.431	11.968	-3.3536	11.92	4	1850	1
275	148.08	0	0	-10.384	6.4679	-11.976	5.04	4	1809	1
276	42.188	0	0	9.0457	8.1988	10.223	8.6233	4	2009	1
277	60.884	0	0	5.9188	10.627	8.2941	11.404	4	2110	1
278	88.323	0	0	0.3592	12.267	-1.0908	14.471	4	1969	0
279	128.84	0	0	-7.8842	9.792	-10.785	2.89	4	1870	0
