Trial#	TargetAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	104.987436759	0	-0.085	-0.031503	0.032674	774	824	1	3535
92	60.1856143816	0	-0.085	0.061055	0.021546	202	719	1	3071
93	132.591388114	0	-0.085	-0.083842	0.006205	1109	596	1	2587
94	57.8280572988	0	-0.085	0.064867	0.018119	341	747	1	2601
95	131.429809744	0	-0.085	-0.080563	0.006285	1053	674	1	2770
96	98.3354787711	0	-0.085	-0.017805	0.036522	741	899	1	2195
97	93.5714770259	0	-0.085	-0.007517	0.035436	711	899	1	2279
98	129.892191643	0	-0.085	-0.078867	0.00935	1145	664	1	2084
99	61.503100488	0	-0.085	0.05825	0.022297	293	779	1	2050
100	129.458479696	0	-0.085	-0.077584	0.009256	1098	648	1	2935
101	58.2588850898	0	-0.085	0.064659	0.019524	293	747	1	2130
102	91.5890714226	0	-0.085	-0.003412	0.037992	495	770	1	5668
103	139.597777515	0	-0.085	-0.092405	-0.006351	1181	603	1	3448
104	48.1892647438	0	-0.085	0.082259	0.006967	516	833	1	3295
105	80.4726838086	0	-0.085	0.019934	0.033773	848	841	1	2920
106	51.1094865074	0	-0.085	0.07656	0.009914	221	644	1	2609
107	108.093254277	0	-0.085	-0.038255	0.032088	910	848	1	2329
108	137.299920949	0	-0.085	-0.089467	-0.002442	1146	600	1	2209
235	71.9499974273	0	-0.085	0.038166	0.032115	264	678	2	2630
236	122.750004505	0	-0.085	-0.065278	0.016486	825	833	2	1990
237	111.878344065	0	-0.085	-0.044834	0.02665	834	802	2	3357
238	88.9465770616	0	-0.085	0.002271	0.038506	745	832	2	2189
239	154.230250388	0	-0.085	-0.110113	-0.031841	1153	459	2	2293
240	40.6403251548	0	-0.085	0.09267	-0.005459	198	552	2	2049
241	97.8374491585	0	-0.085	-0.016571	0.035386	890	784	2	3205
242	94.1345020677	0	-0.085	-0.008796	0.036683	875	775	2	2069
243	28.6310315143	0	-0.085	0.107305	-0.02642	145	582	2	2651
244	105.732673488	0	-0.085	-0.033386	0.033515	873	748	2	2329
245	64.9636821118	0	-0.085	0.052411	0.02721	426	824	2	2169
246	80.4887558674	0	-0.085	0.02033	0.036341	650	828	2	2309
247	105.245357784	0	-0.085	-0.03249	0.03421	833	794	2	2743
248	60.1167328759	0	-0.085	0.061177	0.021462	380	747	2	1989
249	78.6892516916	0	-0.085	0.024312	0.036551	482	857	2	2104
250	89.9198947705	0	-0.085	0.000168	0.035163	669	760	2	2738
251	99.0271465681	0	-0.085	-0.018859	0.033707	817	803	2	1969
252	106.525237845	0	-0.085	-0.034735	0.032074	1016	692	2	2871
379	69.2068718132	0	-0.085	0.043418	0.02934	373	737	3	2550
380	115.114728444	0	-0.085	-0.051716	0.025328	992	775	3	1969
381	121.591748015	0	-0.085	-0.063281	0.017895	920	776	3	2838
382	110.107548894	0	-0.085	-0.041976	0.029658	894	763	3	2089
383	99.1928890288	0	-0.085	-0.019213	0.033718	596	767	3	2209
384	72.6684103446	0	-0.085	0.036036	0.030474	342	604	3	2350
385	113.947244989	0	-0.085	-0.049723	0.026957	965	713	3	2050
386	77.4172676477	0	-0.085	0.026939	0.035689	624	735	3	3157
387	92.3324823336	0	-0.085	-0.004919	0.035765	730	738	3	2945
388	115.987138266	0	-0.085	-0.053446	0.024643	1200	442	3	2109
389	101.395271805	0	-0.085	-0.024454	0.03633	882	704	3	2195
390	52.5187188698	0	-0.085	0.075207	0.013078	253	558	3	2109
391	111.504715538	0	-0.085	-0.044577	0.028138	1082	626	3	1909
392	105.413985596	0	-0.085	-0.032259	0.032004	870	769	3	1949
393	67.4824504711	0	-0.085	0.046059	0.0261	332	647	3	1929
394	118.464400931	0	-0.085	-0.058895	0.023632	964	685	3	2069
395	99.9544372634	0	-0.085	-0.020885	0.033998	872	743	3	1929
396	90.6292082293	0	-0.085	-0.001346	0.037562	632	720	3	2184
523	96.9800789728	0	-0.085	-0.014992	0.037452	725	807	4	2450
524	108.627292761	0	-0.085	-0.039626	0.032561	865	773	4	1989
525	86.0276001494	0	-0.085	0.008585	0.038627	670	781	4	2631
526	90.8132975312	0	-0.085	-0.00175	0.038277	993	688	4	1889
527	64.9907927747	0	-0.085	0.052546	0.027638	660	748	4	2611
528	92.629983772	0	-0.085	-0.005616	0.037262	825	720	4	1889
529	80.5141457537	0	-0.085	0.020318	0.0366	963	671	4	1889
530	49.8042835961	0	-0.085	0.080411	0.010168	301	536	4	2009
531	98.9040589572	0	-0.085	-0.018968	0.036071	917	689	4	2009
532	106.019450042	0	-0.085	-0.033229	0.030735	849	687	4	1909
533	66.5148132328	0	-0.085	0.049199	0.02823	352	534	4	7167
534	81.0732099989	0	-0.085	0.018655	0.033765	547	709	4	2029
535	109.099409631	0	-0.085	-0.040071	0.030722	868	687	4	1789
536	77.7977024833	0	-0.085	0.025365	0.032295	624	735	4	1689
537	62.1084655883	0	-0.085	0.057567	0.023764	472	669	4	1710
538	95.4537114689	0	-0.085	-0.011557	0.036049	735	744	4	1850
539	99.1051301372	0	-0.085	-0.019192	0.034751	1014	498	4	1830
540	79.0181368772	0	-0.085	0.023202	0.034566	716	783	4	1889
