"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task"
1,90,0.0604,-8.5256,0.0604,-8.5256,528,395,0,-8.5,0,3.5,1,0,0,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.0964,-8.5571,0.0964,-8.5571,528,395,0,-8.5,0,3.5,1,0,40,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.1342,-8.5675,0.1342,-8.5675,528,395,0,-8.5,0,3.5,1,0,61,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.1779,-8.5727,0.1779,-8.5727,528,395,0,-8.5,0,3.5,1,0,81,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.2314,-8.5752,0.2314,-8.5752,528,395,0,-8.5,0,3.5,1,0,101,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.2795,-8.5697,0.2795,-8.5697,528,395,0,-8.5,0,3.5,1,0,120,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.3236,-8.5486,0.3236,-8.5486,528,395,0,-8.5,0,3.5,1,0,141,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.3747,-8.5273,0.3747,-8.5273,528,395,0,-8.5,0,3.5,1,0,160,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.4271,-8.5112,0.4271,-8.5112,528,395,0,-8.5,0,3.5,1,0,180,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.4782,-8.4899,0.4782,-8.4899,528,395,0,-8.5,0,3.5,1,0,200,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.5277,-8.4764,0.5277,-8.4764,528,395,0,-8.5,0,3.5,1,0,220,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.5757,-8.4708,0.5757,-8.4708,528,395,0,-8.5,0,3.5,1,0,241,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.6194,-8.4625,0.6194,-8.4625,528,395,0,-8.5,0,3.5,1,0,261,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.6476,-8.4623,0.6476,-8.4623,528,395,0,-8.5,0,3.5,1,0,281,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
1,90,0.6771,-8.4673,0.6771,-8.4673,528,395,0,-8.5,0,3.5,1,0,300,1,0,0,0,0,"mm_0510","align_explicit_train_selected"
