"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
25,135,-3.7607,-6.1397,-3.7607,-6.1397,528,395,0,-8.5,-8.4853,-0.014719,1,0,520,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.3603,147.886692594322,-12.8866925943219,FALSE,"bd_0707"
26,90,-0.3862,-3.5072,-0.3862,-3.5072,528,395,0,-8.5,0,3.5,1,0,500,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,4.9928,94.4231005019833,-4.42310050198327,FALSE,"bd_0707"
27,45,3.7209,-5.1691,3.7209,-5.1691,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.3309,41.8344800545484,3.16551994545164,FALSE,"bd_0707"
28,90,-0.235,-4.0123,-0.235,-4.0123,528,395,0,-8.5,0,3.5,1,0,540,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,4.4877,92.9975758738995,-2.99757587389949,FALSE,"bd_0707"
29,45,3.7376,-4.9844,3.7376,-4.9844,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.5156,43.2468850495847,1.75311495041532,FALSE,"bd_0707"
30,135,-3.4656,-5.8632,-3.4656,-5.8632,528,395,0,-8.5,-8.4853,-0.014719,1,0,480,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.6368,142.734326515452,-7.73432651545235,FALSE,"bd_0707"
31,45,3.869,-5.1159,3.869,-5.1159,528,395,0,-8.5,8.4853,-0.014719,1,0,620,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.3841,41.1752295314252,3.82477046857478,FALSE,"bd_0707"
32,135,-3.1875,-5.9431,-3.1875,-5.9431,528,395,0,-8.5,-8.4853,-0.014719,1,0,500,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.5569,141.264644423421,-6.26464442342106,FALSE,"bd_0707"
33,90,-0.1228,-3.8305,-0.1228,-3.8305,528,395,0,-8.5,0,3.5,1,0,600,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,4.6695,91.5064354596348,-1.50643545963476,FALSE,"bd_0707"
34,135,-3.1875,-5.8568,-3.1875,-5.8568,528,395,0,-8.5,-8.4853,-0.014719,1,0,500,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.6432,140.333146039869,-5.33314603986872,FALSE,"bd_0707"
