"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
1,45,5.0659,-5.1074,5.0659,-5.1074,528,395,0,-8.5,8.4853,-0.014719,1,0,1301,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.3926,33.8099608071558,11.1900391928442,FALSE,"sk_0210"
2,135,-4.7406,-4.8811,-4.7406,-4.8811,528,395,0,-8.5,-8.4853,-0.014719,1,0,1301,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.6189,142.642451227525,-7.64245122752462,FALSE,"sk_0210"
3,90,0.757,-4.6169,0.757,-4.6169,528,395,0,-8.5,0,3.5,1,0,660,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,3.8831,78.9686979219232,11.0313020780768,FALSE,"sk_0210"
6,90,1.0685,-3.4737,1.0685,-3.4737,528,395,0,-8.5,0,3.5,1,0,681,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,5.0263,77.9986153900799,12.0013846099201,FALSE,"sk_0210"
7,90,0.2525,-4.3718,0.2525,-4.3718,528,395,0,-8.5,0,3.5,1,0,761,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,4.1282,86.4998828613298,3.50011713867018,FALSE,"sk_0210"
8,45,2.6339,-5.2662,2.6339,-5.2662,528,395,0,-8.5,8.4853,-0.014719,1,0,640,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.2338,50.837504692367,-5.83750469236704,FALSE,"sk_0210"
9,135,-2.6334,-4.785,-2.6334,-4.785,528,395,0,-8.5,-8.4853,-0.014719,1,0,661,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.715,125.331149429156,9.6688505708444,FALSE,"sk_0210"
11,90,0.4305,-5.0432,0.4305,-5.0432,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,3.4568,82.9010968267545,7.09890317324555,FALSE,"sk_0210"
12,45,2.4099,-4.901,2.4099,-4.901,528,395,0,-8.5,8.4853,-0.014719,1,0,701,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.599,56.1936299206159,-11.1936299206159,FALSE,"sk_0210"
13,135,-4.7599,-4.5525,-4.7599,-4.5525,528,395,0,-8.5,-8.4853,-0.014719,1,0,701,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.9475,140.330262770022,-5.3302627700223,FALSE,"sk_0210"
14,45,3.3404,-5.2221,3.3404,-5.2221,528,395,0,-8.5,8.4853,-0.014719,1,0,621,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.2779,44.4589426628347,0.541057337165277,FALSE,"sk_0210"
15,90,0.3093,-4.2366,0.3093,-4.2366,528,395,0,-8.5,0,3.5,1,0,621,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,4.2634,85.850590649243,4.14940935075704,FALSE,"sk_0210"
16,45,2.8709,-4.7358,2.8709,-4.7358,528,395,0,-8.5,8.4853,-0.014719,1,0,660,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.7642,52.667766590256,-7.66776659025603,FALSE,"sk_0210"
17,90,0.5357,-4.1173,0.5357,-4.1173,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,4.3827,83.0312709648131,6.96872903518694,FALSE,"sk_0210"
18,135,-2.2498,-5.4876,-2.2498,-5.4876,528,395,0,-8.5,-8.4853,-0.014719,1,0,621,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.0124,126.754081024954,8.24591897504584,FALSE,"sk_0210"
19,135,-3.6875,-4.6261,-3.6875,-4.6261,528,395,0,-8.5,-8.4853,-0.014719,1,0,640,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.8739,133.587857975981,1.41214202401881,FALSE,"sk_0210"
20,45,3.602,-4.9405,3.602,-4.9405,528,395,0,-8.5,8.4853,-0.014719,1,0,701,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.5595,44.6599815620382,0.340018437961795,FALSE,"sk_0210"
21,90,-0.5578,-4.045,-0.5578,-4.045,528,395,0,-8.5,0,3.5,1,0,581,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,4.455,97.1367294575021,-7.13672945750206,FALSE,"sk_0210"
22,135,-2.9418,-5.7197,-2.9418,-5.7197,528,395,0,-8.5,-8.4853,-0.014719,1,0,561,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,2.7803,136.616681384202,-1.61668138420242,FALSE,"sk_0210"
23,45,3.1624,-5.2557,3.1624,-5.2557,528,395,0,-8.5,8.4853,-0.014719,1,0,680,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.2443,45.7324002611915,-0.732400261191529,FALSE,"sk_0210"
24,90,-0.3244,-5.7466,-0.3244,-5.7466,528,395,0,-8.5,0,3.5,1,0,481,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,2.7534,96.7194954481096,-6.71949544810964,FALSE,"sk_0210"
25,90,0.121,-2.8344,0.121,-2.8344,528,395,0,-8.5,0,3.5,1,0,681,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,5.6656,88.776522248546,1.22347775145401,FALSE,"sk_0210"
26,135,-3.2898,-5.2047,-3.2898,-5.2047,528,395,0,-8.5,-8.4853,-0.014719,1,0,600,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.2953,134.952145493,0.0478545069999825,FALSE,"sk_0210"
27,45,3.6589,-4.4562,3.6589,-4.4562,528,395,0,-8.5,8.4853,-0.014719,1,0,660,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,4.0438,47.8606615581393,-2.86066155813931,FALSE,"sk_0210"
28,135,-2.5701,-6.0763,-2.5701,-6.0763,528,395,0,-8.5,-8.4853,-0.014719,1,0,540,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,2.4237,136.679222298018,-1.67922229801758,FALSE,"sk_0210"
29,45,3.7723,-4.6101,3.7723,-4.6101,528,395,0,-8.5,8.4853,-0.014719,1,0,680,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,3.8899,45.8793107294978,-0.879310729497838,FALSE,"sk_0210"
30,90,-0.4107,-3.571,-0.4107,-3.571,528,395,0,-8.5,0,3.5,1,0,621,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,4.929,94.7630644876021,-4.76306448760209,FALSE,"sk_0210"
31,135,-4.3179,-5.1941,-4.3179,-5.1941,528,395,0,-8.5,-8.4853,-0.014719,1,0,660,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,135.000064147469,3.3059,142.561363071468,-7.56136307146824,FALSE,"sk_0210"
32,45,3.2755,-4.0676,3.2755,-4.0676,528,395,0,-8.5,8.4853,-0.014719,1,0,721,1,1,0,1,"sk_0210","align_explicit_train_selected",8.485281,44.9999358525315,4.4324,53.5359634555485,-8.53596345554852,FALSE,"sk_0210"
33,90,-0.111,-3.4499,-0.111,-3.4499,528,395,0,-8.5,0,3.5,1,0,660,1,1,0,1,"sk_0210","align_explicit_train_selected",12,90,5.0501,91.2591448994497,-1.25914489944972,FALSE,"sk_0210"
