"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
29,135,-4.4057,-5.0163,-4.4057,-5.0163,528,395,0,-8.5,-8.4853,-0.014719,1,0,1001,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.4837,141.665673607671,-6.66567360767121,FALSE,"hd_0310"
30,90,-0.4246,-3.0185,-0.4246,-3.0185,528,395,0,-8.5,0,3.5,1,0,681,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.4815,94.4293178359577,-4.4293178359577,FALSE,"hd_0310"
31,45,3.8436,-5.3625,3.8436,-5.3625,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.1375,39.2244874199252,5.77551258007476,FALSE,"hd_0310"
32,135,-3.4253,-6.3389,-3.4253,-6.3389,528,395,0,-8.5,-8.4853,-0.014719,1,0,500,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.1611,147.751236520171,-12.7512365201707,FALSE,"hd_0310"
33,90,-0.1292,-3.7058,-0.1292,-3.7058,528,395,0,-8.5,0,3.5,1,0,500,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.7942,91.5437035202474,-1.54370352024739,FALSE,"hd_0310"
34,90,-0.713,-4.2911,-0.713,-4.2911,528,395,0,-8.5,0,3.5,1,0,1361,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.2089,99.6147934407991,-9.6147934407991,FALSE,"hd_0310"
35,135,-4.3251,-6.0217,-4.3251,-6.0217,528,395,0,-8.5,-8.4853,-0.014719,1,0,540,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.4783,150.187114667132,-15.1871146671318,FALSE,"hd_0310"
36,45,3.3074,-5.4375,3.3074,-5.4375,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.0625,42.7982654428555,2.20173455714455,FALSE,"hd_0310"
37,135,-3.4635,-6.4582,-3.4635,-6.4582,528,395,0,-8.5,-8.4853,-0.014719,1,0,380,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.0418,149.479830916867,-14.4798309168673,FALSE,"hd_0310"
38,45,3.6983,-5.5078,3.6983,-5.5078,528,395,0,-8.5,8.4853,-0.014719,1,0,620,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.9922,38.9754366146035,6.02456338539647,FALSE,"hd_0310"
39,90,0.7132,-4.0436,0.7132,-4.0436,528,395,0,-8.5,0,3.5,1,0,1041,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.4564,80.9075167492984,9.09248325070162,FALSE,"hd_0310"
40,135,-0.6478,-7.2372,-0.6478,-7.2372,528,395,0,-8.5,-8.4853,-0.014719,1,0,80,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,1.2628,117.157234529207,17.842765470793,FALSE,"hd_0310"
41,90,-0.0879,-7.5071,-0.0879,-7.5071,528,395,0,-8.5,0,3.5,1,0,61,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,0.9929,95.0591233165254,-5.05912331652544,FALSE,"hd_0310"
42,45,3.4445,-4.9371,3.4445,-4.9371,528,395,0,-8.5,8.4853,-0.014719,1,0,1521,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.5629,45.9680016605173,-0.96800166051726,FALSE,"hd_0310"
43,135,-1.4512,-7.0085,-1.4512,-7.0085,528,395,0,-8.5,-8.4853,-0.014719,1,0,141,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,1.4915,134.215388732102,0.784611267897958,FALSE,"hd_0310"
44,45,3.9908,-5.1684,3.9908,-5.1684,528,395,0,-8.5,8.4853,-0.014719,1,0,501,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.3316,39.8558072638588,5.14419273614118,FALSE,"hd_0310"
65,45,1.6757,-6.1612,1.6757,-6.1612,528,395,0,-8.5,8.4853,-0.014719,1,0,160,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.3388,54.3792147845416,-9.37921478454161,FALSE,"hd_0310"
67,90,0.1701,-2.5122,0.1701,-2.5122,528,395,0,-8.5,0,3.5,1,0,1381,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.9878,88.3727927313092,1.6272072686908,FALSE,"hd_0310"
68,45,3.6454,-4.9723,3.6454,-4.9723,528,395,0,-8.5,8.4853,-0.014719,1,0,1001,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.5277,44.0599450556592,0.940054944340844,FALSE,"hd_0310"
