"subject","task","blocknumber","trial","pv_angle","ep_angle"
"bz_0427","align_explicit_train_selected",1,1,6.2321223258844,0.00441005543140705
"bz_0427","align_explicit_train_selected",1,2,17.6570811986321,0.298896802117426
"bz_0427","align_explicit_train_selected",1,3,12.4412878176153,0.577062223182395
"bz_0427","align_explicit_train_selected",1,4,6.27259369878836,0.0399771135317479
"bz_0427","align_explicit_train_selected",1,5,-0.505039524060891,0.277516734344033
"bz_0427","align_explicit_train_selected",1,6,6.21082310837878,-0.559724414414561
"bz_0427","align_explicit_train_selected",1,7,-5.20926893372285,0.345790951194246
"bz_0427","align_explicit_train_selected",1,8,10.2061041357052,-0.299098942787701
"bz_0427","align_explicit_train_selected",1,9,6.30399105741603,0.613488653714228
"bz_0427","align_explicit_train_selected",1,10,3.1841096768942,-0.215041457521934
"bz_0427","align_explicit_train_selected",1,11,-6.02507611350882,0.297661429914029
"bz_0427","align_explicit_train_selected",1,12,15.0272441912881,0.0933550817321986
"bz_0427","align_explicit_train_selected",1,13,-1.13263077678376,-0.735291640957733
"bz_0427","align_explicit_train_selected",1,14,-4.70406050426564,0.874597089345912
"bz_0427","align_explicit_train_selected",1,15,16.8771140296145,0.0371518486323055
"bz_0427","align_explicit_train_selected",1,16,-7.90103447474186,0.818364251329172
"bz_0427","align_explicit_train_selected",1,17,-2.95124195328286,0.137069834791674
"bz_0427","align_explicit_train_selected",1,18,2.59964059822728,-0.545289667376302
"bz_0427","align_explicit_train_selected",1,19,25.2702131922073,-0.215743520272525
"bz_0427","align_explicit_train_selected",1,20,10.8636233172634,0.85578173478504
"bz_0427","align_explicit_train_selected",1,21,19.1015863439237,0.249112582108125
"bz_0427","align_explicit_train_selected",1,22,-5.96171576479605,0.558389128453285
"bz_0427","align_explicit_train_selected",1,23,7.28660396731837,-0.173084099899569
"bz_0427","align_explicit_train_selected",1,24,2.97466122065251,-0.249391087548538
"bz_0427","align_explicit_train_selected",1,25,7.59851925434131,0.781460482484079
"bz_0427","align_explicit_train_selected",1,26,5.5885587537548,-0.0146354193379779
"bz_0427","align_explicit_train_selected",1,27,-3.71645747844646,-0.536479439454617
"bz_0427","align_explicit_train_selected",1,28,13.8837473126232,-0.66324130496595
"bz_0427","align_explicit_train_selected",1,29,6.91351055142101,0.0785055696092343
"bz_0427","align_explicit_train_selected",1,30,4.07460451441645,0.392536592940587
"bz_0427","align_explicit_train_selected",1,31,-2.24790612933862,0.444741008481202
"bz_0427","align_explicit_train_selected",1,32,5.79833684648735,-0.264488569694009
"bz_0427","align_explicit_train_selected",1,33,10.4736371479286,-0.323938161936347
"bz_0427","align_explicit_train_selected",1,34,10.7001462248197,0.0919387063826349
"bz_0427","align_explicit_train_selected",1,35,2.35908980341949,0.782016627179473
"bz_0427","align_explicit_train_selected",1,36,5.52353352688601,-0.199666557244669
"bz_0427","align_explicit_train_selected",1,37,-1.38364300903189,0.448144304997442
"bz_0427","align_explicit_train_selected",1,38,7.46524580800175,-0.147932405352876
"bz_0427","align_explicit_train_selected",1,39,-1.54775437893664,-0.0358343471212592
"bz_0427","align_explicit_train_selected",1,40,3.18295805981879,-0.0806866707229901
"bz_0427","align_explicit_train_selected",1,41,-1.2265107697479,0.335828201024185
"bz_0427","align_explicit_train_selected",1,43,-2.85556544174903,-0.140276370890994
"bz_0427","align_explicit_train_selected",1,44,7.74401525324097,0.505953852697047
"bz_0427","align_explicit_train_selected",1,45,1.2424523578139,0.502552042224181
"bz_0427","align_explicit_train_selected",1,65,8.23446724753816,0.391347430751509
"bz_0427","align_explicit_train_selected",1,66,1.9873842018014,0.688316048386724
"bz_0427","align_explicit_train_selected",1,67,0.785086345678735,1.25145490404
"bz_0427","align_explicit_train_selected",1,69,-4.64577964567726,-0.271367292619431
"bz_0427","align_explicit_train_selected",1,70,2.7278581346668,0.80039720039241
"bz_0427","align_explicit_train_selected",1,71,0.725310497790574,0.330671510574462
"bz_0427","align_explicit_train_selected",1,72,-7.64481568521868,-0.189449370424207
"bz_0427","align_explicit_train_selected",1,92,3.6293036316826,0.243090938348004
"bz_0427","align_explicit_train_selected",1,93,-6.58516960460568,0.208357131265018
"bz_0427","align_explicit_train_selected",1,95,9.87702586655897,-0.660457618407428
"bz_0427","align_explicit_train_selected",1,96,-4.51871937633139,-0.335675991954517
"bz_0427","align_explicit_train_selected",1,97,-15.230212793615,-0.0325702515522721
"bz_0427","align_explicit_train_selected",1,98,7.02123978008412,-0.390657797174391
"bz_0427","align_explicit_train_selected",1,99,-1.82710428912679,0.0224769963271854
"bz_0427","align_explicit_train_selected",2,109,8.35042490683325,0.0167512521921296
"bz_0427","align_explicit_train_selected",2,110,1.87571489810179,0.595249751535334
"bz_0427","align_explicit_train_selected",2,112,-7.8539786913609,-0.69349237217596
"bz_0427","align_explicit_train_selected",2,113,4.88252234425802,0.109904699803252
"bz_0427","align_explicit_train_selected",2,114,-0.418839892843295,0.465650092781601
"bz_0427","align_explicit_train_selected",2,115,-6.4335841352813,-0.52588901206763
"bz_0427","align_explicit_train_selected",2,116,0.591654551583105,0.393411577290379
"bz_0427","align_explicit_train_selected",2,117,-9.53957236196722,0.0889269562095194
"bz_0427","align_explicit_train_selected",2,136,3.29329922920945,-0.307117167883881
"bz_0427","align_explicit_train_selected",2,137,2.08791264785611,0.171714438715554
"bz_0427","align_explicit_train_selected",2,139,3.67687922682495,0.744792093348707
"bz_0427","align_explicit_train_selected",2,140,-8.53281730384018,-0.592491281948568
"bz_0427","align_explicit_train_selected",2,141,-2.34963724250333,0.460678788922763
"bz_0427","align_explicit_train_selected",2,142,-5.96777146238377,0.0438711855403824
"bz_0427","align_explicit_train_selected",2,143,-11.5107766889107,-0.185444292195641
