group,version,participant,age,corrected_vision,sex,right_handed,height_cm,awareness
30implicit,ei,cf_1706,22,Y,F,Y,159,1
30implicit,ie,ec_1706,22,N,M,Y,167,3
30implicit,ei,jn_1701,19,N,M,Y,181,0
60explicit,ie,as_1309,23,N,M,Y,187,3
60explicit,ei,at_1609,31,Y,M,Y,173,3
60explicit,ie,bb_1609,19,Y,M,Y,178,1
60explicit,ei,sm_1909,51,Y,F,Y,165,1
60explicit,ie,jr_2209,19,Y,M,Y,180,3
60explicit,ei,jw_0410,20,Y,M,Y,169,3
60explicit,ie,mn_0610,21,Y,F,Y,176,2
60explicit,ei,bs_1710,20,N,M,Y,183,3
60explicit,ie,ap_2010,19,N,F,Y,186,3
60explicit,ei,gs_1910,19,Y,M,Y,187,3
60explicit,ie,me_0311,23,Y,F,Y,174,3
60explicit,ei,ae_2211,22,Y,F,Y,178,3
60explicit,ei,gk_2811,20,Y,M,Y,174,3
60explicit,ie,op_2811,19,N,M,Y,180,3
60explicit,ei,ap_1301,19,N,F,Y,161,3
60explicit,ie,dc_1901,20,Y,F,Y,160,3
60explicit,ei,ps_1801,18,N,F,Y,161,3
60explicit,ie,yp_1901,19,Y,F,Y,166,3
60explicit,ei,df_2601,20,Y,F,Y,163,3
60explicit,ie,jl_2601,20,Y,F,Y,162,3
60explicit,ei,tt_1402,29,Y,M,Y,175,2
60implicit,ei,nl_3009,20,Y,F,Y,165,1
60implicit,ie,nm_3009,18,N,M,Y,180,3
60implicit,ei,sp_0310,19,Y,M,Y,178,1
60implicit,ie,mc_0410,21,Y,M,Y,175,1
60implicit,ei,th_0710,20,N,M,Y,177,2
60implicit,ie,mo_0710,20,Y,F,Y,161,1
60implicit,ie,al_1411,18,Y,F,Y,161,3
60implicit,ei,cm_2710,18,N,M,Y,177,3
60implicit,ie,jc_2710,19,Y,F,Y,160,3
60implicit,ei,el_2810,19,Y,F,Y,161,3
60implicit,ie,mj_1411,19,Y,M,Y,178,1
60implicit,ei,kh_1911,46,Y,F,Y,169,3
60implicit,ie,am_2211,19,Y,F,Y,148,1
60implicit,ei,dy_2511,19,Y,M,Y,168,3
60implicit,ie,ht_0109,19,N,M,Y,169,1
60implicit,ei,aa_1301,20,Y,M,Y,179,3
60implicit,ie,fa_1301,20,Y,F,Y,169,1
