group,participant,a025,a500,a975,p025,p500,p975
aging_implicit,100,50.4144858627724,51.6562654568827,52.6353585623974,44.7933940160272,46.2908002399121,47.8075357520592
aging_implicit,101,148.491143245398,151.519577247573,154.361229414537,136.899252832907,138.522388670763,141.24598664041
aging_implicit,102,8.39639092796638,8.72528117463035,9.11485473091236,9.82175206373878,10.0758175798103,10.3589369251984
aging_implicit,103,53.4536559331129,54.8017312791458,55.8152776301536,52.6908526210878,53.7542549346843,54.8929545577038
aging_implicit,104,2.66385652285766,2.73543967824424,2.84159791579473,3.444518955274,3.56509275657505,3.66573341543067
aging_implicit,105,17.0412839485635,17.5775299722911,18.2464934477266,13.6769243864361,13.895399828518,14.1651327467151
aging_implicit,106,3.92625167216296,4.05790316957418,4.1674739851549,4.68514574605545,4.81316981705077,4.97969682205996
aging_implicit,107,71.1936334208633,72.9583465179436,74.3528429431895,68.7903995487675,70.7820649713817,72.9839590184153
aging_implicit,108,3.87653273478897,3.94542230528126,4.01639657721663,3.53607184081296,3.60749479674601,3.68725486634899
aging_implicit,109,26.9679435587084,27.4938457512624,28.0133042950725,27.6178967231594,28.0607209477983,28.5072844939606
aging_implicit,110,195.890953265768,198.986173337569,201.992321870549,174.280602510849,176.874388886258,179.886702831338
aging_implicit,111,58.5065984080022,59.8742745129681,61.4710425579116,60.6443689300943,62.2881318860227,63.9562194189963
aging_implicit,112,7.83141318306114,8.08048664800236,8.29854910701742,13.8828150165998,14.6888827809723,15.5256426382089
aging_implicit,113,6.95397478580086,7.16450936978917,7.31496732023004,11.2913710360873,11.774269938635,12.2025178629598
aging_explicit,114,2.0888803237905,2.16915703710108,2.22561426090413,1.83132344126817,1.90818417555022,1.97288538693608
aging_explicit,115,83.0152841339804,84.1995765624077,85.4510291847222,82.7286284477317,84.0622733112244,85.592109112246
aging_explicit,116,4.65642904119474,4.77952478874613,4.89582422018973,4.48035208990386,4.56587454057408,4.65484047770725
aging_explicit,117,2.44177603481955,2.48789509310771,2.54345036089632,2.43919032834481,2.51967711386748,2.61824131228384
aging_explicit,118,4.58735104960977,4.67747843521369,4.78368641149688,4.45094891281068,4.56346074534211,4.64436842906754
aging_explicit,119,4.19835203349484,4.29289860891766,4.40725045242764,3.88455955401634,3.95508680382562,4.02339492685039
aging_explicit,120,0.419863792704179,0.430314511175032,0.437777797165024,0.642688706805424,0.662945425474441,0.683380573908587
aging_explicit,121,11.3084851064373,12.0378972317845,13.1924806786209,8.23429611795141,8.79954238681967,9.28098642013398
aging_explicit,122,53.3265284461471,54.172274900293,55.0551657788908,52.0305486824046,53.2685742581776,54.2572612297702
aging_explicit,123,2.72926413086041,2.78466724554999,2.85673262354698,5.98900261243691,6.12428430094214,6.29445931153908
aging_explicit,124,8.73506140311973,8.88873879493596,9.10914247757485,8.18297864900108,8.32810710116235,8.47262778275736
aging_explicit,125,3.23992755833725,3.34932193638573,3.42804477933212,3.91584717809496,4.01082968833453,4.07596423858075
aging_explicit,126,20.1961816549218,20.4115031937703,20.7365385546216,22.4111948918363,22.7938189294471,23.3163150086593
aging_explicit,127,8.15541467875488,8.26471908612735,8.41924094578136,7.77794248738276,7.91395336321547,8.0276174813247
