ID,version,group,age,sex
ay_1506,ei,30implicit,18,M
bh_1506,ie,30implicit,19,M
ma_1506,ei,30implicit,20,F
ja_1606,ie,30implicit,18,M
cf_1706,ei,30implicit,22,F
ec_1706,ie,30implicit,22,M
jn_1701,ei,30implicit,19,M
fs_1011,ei,30implicit,19,F
zw_2609,ie,30implicit,18,M
as_1309,ie,60explicit,23,M
at_1609,ei,60explicit,31,M
bb_1609,ie,60explicit,19,M
sm_1909,ei,60explicit,51,F
jr_2209,ie,60explicit,19,M
jw_0410,ei,60explicit,20,M
mn_0610,ie,60explicit,21,F
bs_1710,ei,60explicit,20,M
ap_2010,ie,60explicit,19,F
gs_1910,ei,60explicit,19,M
me_0311,ie,60explicit,23,F
ae_2211,ei,60explicit,22,F
gk_2811,ei,60explicit,20,M
op_2811,ie,60explicit,19,M
ap_1301,ei,60explicit,19,F
"dc_1901 (mediocre data, but workable)",ie,60explicit,20,F
ps_1801,ei,60explicit,18,F
yp_1901,ie,60explicit,19,F
df_2601,ei,60explicit,20,F
jl_2601,ie,60explicit,20,F
tt_1402,ei,60explicit,29,M
sa_2106,ie,60explicit,18,F
nl_3009,ei,60implicit,20,F
nm_3009,ie,60implicit,18,M
sp_0310,ei,60implicit,19,M
mc_0410,ie,60implicit,21,M
th_0710,ei,60implicit,20,M
mo_0710,ie,60implicit,20,F
al_1411,ie,60implicit,18,F
cm_2710,ei,60implicit,18,M
jc_2710,ie,60implicit,19,F
el_2810,ei,60implicit,19,F
mj_1411,ie,60implicit,19,M
kh_1911,ei,60implicit,46,F
am_2211,ie,60implicit,19,F
dy_2511,ei,60implicit,19,M
ht_0109,ie,60implicit,19,M
aa_1301,ei,60implicit,20,M
fa_1301,ie,60implicit,20,F
cl_1701,ei,60implicit,36,F
mk_2301,ie,60implicit,18,F
ab_2601,ei,60implicit,19,F
hk_0702,ie,60implicit,19,M
hb_0407,ei,aging_explicit,77,F
ta_0607,ie,aging_explicit,75,M
jn_0203,ei,aging_explicit,60,F
mo_0707,ei,aging_explicit,77,M
mv_0807,ie,aging_explicit,72,F
pe_1207,ie,aging_explicit,72,F
ap_2004,ei,aging_explicit,64,F
pc_0504,ei,aging_explicit,69,F
mj_2706,ie,aging_explicit,62,M
js_2806,ei,aging_explicit,80,M
bd_0707,ie,aging_explicit,62,M
mn_1307,ei,aging_explicit,72,F
nb_1807,ie,aging_explicit,72,F
jf_0804,ei,aging_implicit,78,M
bh_0608,ie,aging_implicit,69,M
ao_1608,ei,aging_implicit,66,F
tf_0831,ie,aging_implicit,70,M
ia_0109,ei,aging_implicit,67,F
bo_1309,ie,aging_implicit,80,M
jc_2309,ei,aging_implicit,68,F
mw_2510,ie,aging_implicit,71,M
af_0111,ei,aging_implicit,64,M
bz_0427,ie,aging_implicit,71,F
bj_0424,ei,aging_implicit,84,M
bb_2906,ie,aging_implicit,71,M
ch_3006,ei,aging_implicit,79,M
co_0407,ie,aging_implicit,67,F
jd_1007,ie,aging_implicit,64,M
ss_0601,ie,org30implicit,20,F
bs_1201,ei,org30implicit,21,M
ap_1201,ie,org30explicit,19,F
sb_1501,ei,org30explicit,18,F
sc_0801,ie,org30implicit,20,F
mb_0801,ei,org30implicit,19,F
ha_1501,ie,org30explicit,18,F
op_1901,ei,org30explicit,20,F
jv_1901,ie,org30implicit,18,F
nm_0122,ei,org30implicit,18,F
sm_0122,ie,org30explicit,18,F
dn_2601,ei,org30explicit,18,M
sm_2601,ie,org30implicit,19,F
ms_0129,ei,org30implicit,32,F
dl_0127,ie,org30explicit,18,M
te_0202,ei,org30explicit,21,F
mm_0205,ie,org30implicit,18,F
ta_0205,ei,org30implicit,18,F
hp_0205,ie,org30explicit,18,F
sk_0209,ei,org30explicit,19,F
sk_0210,ie,org30implicit,20,F
tp_0210,ei,org30implicit,18,F
kb_0209,ie,org30explicit,18,M
ig_0212,ei,org30explicit,22,M
nd_0212,ie,org30implicit,19,F
kn_0212,ei,org30implicit,19,M
ji_0216,ie,org30explicit,21,F
pa_0216,ei,org30explicit,20,F
mp_0216,ie,org30implicit,19,F
ae_0225,ei,org30implicit,32,F
ma_0301,ie,org30explicit,19,M
am_0301,ei,org30explicit,22,F
sh_0403,ie,org30implicit,24,M
sn_0308,ie,org30explicit,23,F
