ID,instruction,rotation,age,version,folder,aligned_train,aligned_nocursor,aligned_activetap,aligned_passivetap,rotated_train,rotated_nocursor,rotated_activetap,rotated_passivetap,calibration
gk_2811,explicit,60,younger,EI,60explicit,gk_2811_align_explicit_train_selected.txt,gk_2811_align_explicit_no_cursor_selected.txt,gk_2811_align_explicit_active_tap_selected.txt,gk_2811_align_explicit_passive_tap_selected.txt,gk_2811_rotated_explicit_EI_train_selected.txt,gk_2811_rotated_explicit_EI_no_cursor_selected.txt,gk_2811_rotated_explicit_EI_active_tap_selected.txt,gk_2811_rotated_explicit_EI_passive_tap_selected.txt,gk_2811_explicit_calibration.txt
sm_1805,explicit,60,younger,IE,60explicit,sm_1805_align_explicit_train_selected.txt,sm_1805_align_explicit_no_cursor_selected.txt,sm_1805_align_explicit_active_tap_selected.txt,sm_1805_align_explicit_passive_tap_selected.txt,sm_1805_explicit_localization60_IE_train_selected.txt,sm_1805_explicit_localization60_IE_no_cursor_selected.txt,sm_1805_explicit_localization60_IE_active_tap_selected.txt,sm_1805_explicit_localization60_IE_passive_tap_selected.txt,sm_1805_explicit_calibration.txt
jr_2209,explicit,60,younger,IE,60explicit,jr_2209_align_explicit_train_selected.txt,jr_2209_align_explicit_no_cursor_selected.txt,jr_2209_align_explicit_active_tap_selected.txt,jr_2209_align_explicit_passive_tap_selected.txt,jr_2209_rotated_explicit_IE_train_selected.txt,jr_2209_rotated_explicit_IE_no_cursor_selected.txt,jr_2209_rotated_explicit_IE_active_tap_selected.txt,jr_2209_rotated_explicit_IE_passive_tap_selected.txt,jr_2209_explicit_calibration.txt
ap_2010,explicit,60,younger,IE,60explicit,ap_2010_align_explicit_train_selected.txt,ap_2010_align_explicit_no_cursor_selected.txt,ap_2010_align_explicit_active_tap_selected.txt,ap_2010_align_explicit_passive_tap_selected.txt,ap_2010_rotated_explicit_IE_train_selected.txt,ap_2010_rotated_explicit_IE_no_cursor_selected.txt,ap_2010_rotated_explicit_IE_active_tap_selected.txt,ap_2010_rotated_explicit_IE_passive_tap_selected.txt,ap_2010_explicit_calibration.txt
sm_1909,explicit,60,younger,EI,60explicit,sm_1909_align_explicit_train_selected.txt,sm_1909_align_explicit_no_cursor_selected.txt,sm_1909_align_explicit_active_tap_selected.txt,sm_1909_align_explicit_passive_tap_selected.txt,sm_1909_rotated_explicit_EI_train_selected.txt,sm_1909_rotated_explicit_EI_no_cursor_selected.txt,sm_1909_rotated_explicit_EI_active_tap_selected.txt,sm_1909_rotated_explicit_EI_passive_tap_selected.txt,sm_1909_explicit_calibration.txt
bb_1609,explicit,60,younger,IE,60explicit,bb_1609_align_explicit_train_selected.txt,bb_1609_align_explicit_no_cursor_selected.txt,bb_1609_align_explicit_active_tap_selected.txt,bb_1609_align_explicit_passive_tap_selected.txt,bb_1609_rotated_explicit_IE_train_selected.txt,bb_1609_rotated_explicit_IE_no_cursor_selected.txt,bb_1609_rotated_explicit_IE_active_tap_selected.txt,bb_1609_rotated_explicit_IE_passive_tap_selected.txt,bb_1609_explicit_calibration.txt
cp_1201,cursorjump,30,younger,IE,cursorjump,cp_1201_align_explicit_train_selected.txt,cp_1201_align_explicit_no_cursor_selected.txt,cp_1201_align_explicit_active_tap_selected.txt,cp_1201_align_explicit_passive_tap_selected.txt,cp_1201_explicit_jump_IE_train_selected.txt,cp_1201_explicit_jump_IE_no_cursor_selected.txt,cp_1201_explicit_jump_IE_active_tap_selected.txt,cp_1201_explicit_jump_IE_passive_tap_selected.txt,cp_1201_explicit_calibration.txt
cr_2206,cursorjump,30,younger,IE,cursorjump,cr_2206_align_explicit_train_selected.txt,cr_2206_align_explicit_no_cursor_selected.txt,cr_2206_align_explicit_active_tap_selected.txt,cr_2206_align_explicit_passive_tap_selected.txt,cr_2206_explicit_jump_IE_train_selected.txt,cr_2206_explicit_jump_IE_no_cursor_selected.txt,cr_2206_explicit_jump_IE_active_tap_selected.txt,cr_2206_explicit_jump_IE_passive_tap_selected.txt,cr_2206_explicit_calibration.txt
cr_2106,cursorjump,30,younger,EI,cursorjump,cr_2106_align_explicit_train_selected.txt,cr_2106_align_explicit_no_cursor_selected.txt,cr_2106_align_explicit_active_tap_selected.txt,cr_2106_align_explicit_passive_tap_selected.txt,cr_2106_explicit_Jump_EI_train_selected.txt,cr_2106_explicit_Jump_EI_no_cursor_selected.txt,cr_2106_explicit_Jump_EI_active_tap_selected.txt,cr_2106_explicit_Jump_EI_passive_tap_selected.txt,cr_2106_explicit_calibration.txt
ar_1908,cursorjump,30,younger,EI,cursorjump,ar_1908_align_explicit_train_selected.txt,ar_1908_align_explicit_no_cursor_selected.txt,ar_1908_align_explicit_active_tap_selected.txt,ar_1908_align_explicit_passive_tap_selected.txt,ar_1908_explicit_Jump_EI_train_selected.txt,ar_1908_explicit_Jump_EI_no_cursor_selected.txt,ar_1908_explicit_Jump_EI_active_tap_selected.txt,ar_1908_explicit_Jump_EI_passive_tap_selected.txt,ar_1908_explicit_calibration.txt
