"subject","task","blocknumber","trial","pv_angle","ep_angle"
"bt_3251","align_explicit_train_selected",1,1,-0.20725697618591,-0.609268640680277
"bt_3251","align_explicit_train_selected",1,2,-2.72971160598908,-0.0297866404817171
"bt_3251","align_explicit_train_selected",1,3,1.36183084519421,0.723053038516113
"bt_3251","align_explicit_train_selected",1,4,8.74890669822308,0.270662160741452
"bt_3251","align_explicit_train_selected",1,5,-7.46597891694265,0.672044791874697
"bt_3251","align_explicit_train_selected",1,6,3.85649167344132,-0.388354083661028
"bt_3251","align_explicit_train_selected",1,7,1.5322023763975,-0.388354083661028
"bt_3251","align_explicit_train_selected",1,8,-3.11689876715113,-0.156244440235412
"bt_3251","align_explicit_train_selected",1,9,-4.72369771318911,-0.279788302451337
"bt_3251","align_explicit_train_selected",1,10,0.917902890621043,-0.216492299442386
"bt_3251","align_explicit_train_selected",1,11,-4.76770720884971,-0.5735594950294
"bt_3251","align_explicit_train_selected",1,12,-6.81905850716711,0.167040644036348
"bt_3251","align_explicit_train_selected",1,13,-0.870395826794812,-0.113431437826186
"bt_3251","align_explicit_train_selected",1,14,-4.70789199779922,0.304683288540019
"bt_3251","align_explicit_train_selected",1,15,-10.4649483139707,0.152722147978153
"bt_3251","align_explicit_train_selected",1,16,-7.73000551081213,-0.150147821271844
"bt_3251","align_explicit_train_selected",1,17,-2.41702166636495,-0.31594284044143
"bt_3251","align_explicit_train_selected",1,18,2.26523757487081,0.0126407314571111
"bt_3251","align_explicit_train_selected",1,19,-3.73124693439078,-0.367646588765226
"bt_3251","align_explicit_train_selected",1,20,-7.54983990220865,-0.355500778409699
"bt_3251","align_explicit_train_selected",1,21,3.13921290325541,-0.198688833413684
"bt_3251","align_explicit_train_selected",1,22,-1.97464783890386,-0.279788302451337
"bt_3251","align_explicit_train_selected",1,23,-3.13822830023392,-0.293842553010585
"bt_3251","align_explicit_train_selected",1,24,-0.210147405372197,0.150802822065174
"bt_3251","align_explicit_train_selected",1,25,1.21822916686698,-0.013247360058287
"bt_3251","align_explicit_train_selected",1,26,-1.98411457401313,0.0363236791671184
"bt_3251","align_explicit_train_selected",1,27,-1.34507931441519,0.409843716514558
"bt_3251","align_explicit_train_selected",1,28,-3.91583647791066,0.0791804005168331
"bt_3251","align_explicit_train_selected",1,29,3.46363769606695,-0.340041264336648
"bt_3251","align_explicit_train_selected",1,30,-2.54432947373819,0.961446040655019
"bt_3251","align_explicit_train_selected",1,31,-13.2443834033982,0.539113305170417
"bt_3251","align_explicit_train_selected",1,32,1.01705277357375,-0.350049753841212
"bt_3251","align_explicit_train_selected",1,33,-15.6874935029076,-0.349513852764389
"bt_3251","align_explicit_train_selected",1,34,-10.5154828600435,-0.242150800694162
"bt_3251","align_explicit_train_selected",1,35,2.20178014205683,-0.221076295132576
"bt_3251","align_explicit_train_selected",1,36,-2.85237831439562,0.00503256735754576
"bt_3251","align_explicit_train_selected",1,37,0.258628233174058,-0.343156497074439
"bt_3251","align_explicit_train_selected",1,38,-13.9136671095189,-0.54186670488734
"bt_3251","align_explicit_train_selected",1,39,-7.03688883751579,0.0825004678767982
"bt_3251","align_explicit_train_selected",1,40,-12.1189832549732,0.193015196656077
"bt_3251","align_explicit_train_selected",1,41,3.31425291752481,-0.185136558735572
"bt_3251","align_explicit_train_selected",1,42,-9.46567011700299,-0.355667127000544
"bt_3251","align_explicit_train_selected",1,43,-4.33576418796193,-0.0151285302104043
"bt_3251","align_explicit_train_selected",1,44,-1.81691530723248,0.310918952987123
"bt_3251","align_explicit_train_selected",1,45,-1.15565168035103,-0.307293799276792
"bt_3251","align_explicit_train_selected",1,64,4.8884321898279,-0.221107056985879
"bt_3251","align_explicit_train_selected",1,65,-1.70164527484771,-0.0752562760377486
"bt_3251","align_explicit_train_selected",1,66,-7.21730252744348,0.412862405877945
"bt_3251","align_explicit_train_selected",1,67,2.57318560799826,-0.0404440729389464
"bt_3251","align_explicit_train_selected",1,68,-3.27703890445969,0.410517612224567
