"subject","task","blocknumber","trial","pv_angle","ep_angle"
"bv_3253","align_explicit_train_selected",1,1,1.20624120589664,-0.105234058311602
"bv_3253","align_explicit_train_selected",1,2,-5.98088881634092,-0.126403364073497
"bv_3253","align_explicit_train_selected",1,3,-5.1090008073452,-0.342780216144078
"bv_3253","align_explicit_train_selected",1,4,-7.52739512403032,-0.192674500213272
"bv_3253","align_explicit_train_selected",1,5,-0.348211120842784,-0.132275703599298
"bv_3253","align_explicit_train_selected",1,6,-6.4191179928616,0.37122273645727
"bv_3253","align_explicit_train_selected",1,7,3.47856203568688,0.098588277981726
"bv_3253","align_explicit_train_selected",1,8,-6.63336154290053,0.951520234301142
"bv_3253","align_explicit_train_selected",1,9,2.81006785152621,-0.524005673709098
"bv_3253","align_explicit_train_selected",1,10,-5.12253331432653,-0.191692372114048
"bv_3253","align_explicit_train_selected",1,11,-5.06084484088467,-0.284201600954049
"bv_3253","align_explicit_train_selected",1,12,-2.15160762859784,-0.621244128333835
"bv_3253","align_explicit_train_selected",1,13,-8.88825679912287,0.180926252433323
"bv_3253","align_explicit_train_selected",1,14,1.52705659587856,-0.29415986330833
"bv_3253","align_explicit_train_selected",1,15,-14.6434143976387,0.73972154396165
"bv_3253","align_explicit_train_selected",1,16,-5.31878520281919,0.428863702425986
"bv_3253","align_explicit_train_selected",1,17,2.73837710298696,-0.236563124410182
"bv_3253","align_explicit_train_selected",1,18,-14.0617788735656,-0.195166650522737
"bv_3253","align_explicit_train_selected",1,19,-10.9547717639734,-0.186635207974575
"bv_3253","align_explicit_train_selected",1,20,-4.55014965204339,0.0946647031788359
"bv_3253","align_explicit_train_selected",1,21,6.67923730799905,-0.563079461227119
"bv_3253","align_explicit_train_selected",1,22,2.68954465589484,-0.0403766202545484
"bv_3253","align_explicit_train_selected",1,23,-13.4604924057091,0.391347430751509
"bv_3253","align_explicit_train_selected",1,24,-20.4567473226284,0.313497777046905
"bv_3253","align_explicit_train_selected",1,25,-9.2741279916319,-0.446072456543007
"bv_3253","align_explicit_train_selected",1,26,0.352085664236419,-0.148769394577933
"bv_3253","align_explicit_train_selected",1,27,2.57418415367346,-0.204641386359526
"bv_3253","align_explicit_train_selected",1,28,-1.56011039977196,0.155819357920379
"bv_3253","align_explicit_train_selected",1,29,-6.79148411678119,0.557983288785437
"bv_3253","align_explicit_train_selected",1,30,4.07055327013397,-0.434469149979556
"bv_3253","align_explicit_train_selected",1,31,2.90952758760375,0.595084937766501
"bv_3253","align_explicit_train_selected",1,32,8.80869132968373,-0.0725454845996367
"bv_3253","align_explicit_train_selected",1,33,-2.94250706527731,0.228038851247533
"bv_3253","align_explicit_train_selected",1,34,-7.14580635688404,-0.342090116039302
"bv_3253","align_explicit_train_selected",1,35,-6.49360736419251,0.299989232588814
"bv_3253","align_explicit_train_selected",1,36,5.01694380293376,0.159099639999148
"bv_3253","align_explicit_train_selected",1,37,3.30302619081866,-0.0765232084537288
"bv_3253","align_explicit_train_selected",1,38,-6.70247714321098,-0.114451574561187
"bv_3253","align_explicit_train_selected",1,39,1.32743523094109,0.632618307970716
"bv_3253","align_explicit_train_selected",1,40,-2.10158108329509,-0.257479529161841
"bv_3253","align_explicit_train_selected",1,41,4.49772245275079,-0.319310890144656
"bv_3253","align_explicit_train_selected",1,42,-5.0570886066227,0.407282500129327
"bv_3253","align_explicit_train_selected",1,43,-9.70939411447986,0.837267992382408
"bv_3253","align_explicit_train_selected",1,44,-0.606678005767336,-0.517050000129558
