"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
23,45,4.4949,-5.4699,4.4949,-5.4699,528,395,0,-8.5,8.4853,-0.014719,1,0,581,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.0301,33.9846801918039,11.0153198081961,FALSE,"bw_3254"
24,90,-0.5608,-2.0491,-0.5608,-2.0491,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,6.4509,94.9684376131652,-4.96843761316518,FALSE,"bw_3254"
25,45,3.8849,-4.0822,3.8849,-4.0822,528,395,0,-8.5,8.4853,-0.014719,1,0,521,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.4178,48.6724314557996,-3.6724314557996,FALSE,"bw_3254"
26,135,-3.42,-4.8702,-3.42,-4.8702,528,395,0,-8.5,-8.4853,-0.014719,1,0,321,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.6298,133.295397349199,1.70460265080123,FALSE,"bw_3254"
27,90,-0.5579,-3.5875,-0.5579,-3.5875,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.9125,96.4791744097006,-6.47917440970062,FALSE,"bw_3254"
28,90,-0.6428,-2.3937,-0.6428,-2.3937,528,395,0,-8.5,0,3.5,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,6.1063,96.0092990172941,-6.00929901729411,FALSE,"bw_3254"
29,135,-4.3023,-5.2261,-4.3023,-5.2261,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.2739,142.730132764896,-7.7301327648963,FALSE,"bw_3254"
30,45,4.4146,-4.1051,4.4146,-4.1051,528,395,0,-8.5,8.4853,-0.014719,1,0,481,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.3949,44.8718741160177,0.128125883982328,FALSE,"bw_3254"
31,90,-0.4632,-3.5853,-0.4632,-3.5853,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.9147,95.3841009735981,-5.38410097359807,FALSE,"bw_3254"
32,45,4.0435,-4.4521,4.0435,-4.4521,528,395,0,-8.5,8.4853,-0.014719,1,0,501,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.0479,45.0311567102119,-0.0311567102118815,FALSE,"bw_3254"
33,135,-4.4684,-4.1419,-4.4684,-4.1419,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,4.3581,135.715957122894,-0.715957122894281,FALSE,"bw_3254"
34,135,-5.2441,-5.083,-5.2441,-5.083,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.417,146.912160504752,-11.9121605047519,FALSE,"bw_3254"
35,45,3.5935,-5.3391,3.5935,-5.3391,528,395,0,-8.5,8.4853,-0.014719,1,0,481,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.1609,41.3353745477804,3.66462545221963,FALSE,"bw_3254"
36,90,0.009,-3.926,0.009,-3.926,528,395,0,-8.5,0,3.5,1,0,581,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.574,89.8872624945044,0.112737505495602,FALSE,"bw_3254"
37,90,-1.364,-4.2813,-1.364,-4.2813,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.2187,107.9171795021,-17.9171795021003,FALSE,"bw_3254"
38,45,3.8194,-4.0772,3.8194,-4.0772,528,395,0,-8.5,8.4853,-0.014719,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.4228,49.1870747909039,-4.18707479090389,FALSE,"bw_3254"
39,135,-3.9383,-4.2632,-3.9383,-4.2632,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,4.2368,132.908870148064,2.09112985193607,FALSE,"bw_3254"
40,135,-4.0065,-5.1308,-4.0065,-5.1308,528,395,0,-8.5,-8.4853,-0.014719,1,0,341,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.3692,139.93839688521,-4.93839688520958,FALSE,"bw_3254"
41,90,-0.6217,-3.7959,-0.6217,-3.7959,528,395,0,-8.5,0,3.5,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.7041,97.5286540159065,-7.52865401590647,FALSE,"bw_3254"
