"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
23,45,4.0756,-4.2897,4.0756,-4.2897,528,395,0,-8.5,8.4853,-0.014719,1,0,541,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.2103,45.9313486452768,-0.931348645276771,FALSE,"br_3249"
24,90,-0.0368,-1.4454,-0.0368,-1.4454,528,395,0,-8.5,0,3.5,1,0,581,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,7.0546,90.2988781166126,-0.298878116612599,FALSE,"br_3249"
25,90,0.2607,-2.5119,0.2607,-2.5119,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.9881,87.5071252706162,2.49287472938384,FALSE,"br_3249"
26,45,4.5332,-4.2153,4.5332,-4.2153,528,395,0,-8.5,8.4853,-0.014719,1,0,501,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.2847,43.3857569494929,1.61424305050711,FALSE,"br_3249"
27,135,-3.4327,-5.1725,-3.4327,-5.1725,528,395,0,-8.5,-8.4853,-0.014719,1,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.3275,135.891546037571,-0.891546037570578,FALSE,"br_3249"
28,45,3.8058,-4.7451,3.8058,-4.7451,528,395,0,-8.5,8.4853,-0.014719,1,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.7549,44.6142802756607,0.385719724339275,FALSE,"br_3249"
29,135,-3.5009,-5.5711,-3.5009,-5.5711,528,395,0,-8.5,-8.4853,-0.014719,1,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,2.9289,140.083694395345,-5.08369439534491,FALSE,"br_3249"
30,90,-1.0622,-3.7673,-1.0622,-3.7673,528,395,0,-8.5,0,3.5,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,4.7327,102.649757413681,-12.6497574136806,FALSE,"br_3249"
31,90,0.0399,-1.4062,0.0399,-1.4062,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,7.0938,89.6777358404559,0.322264159544105,FALSE,"br_3249"
32,45,3.5098,-4.1224,3.5098,-4.1224,528,395,0,-8.5,8.4853,-0.014719,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.3776,51.2786334770153,-6.27863347701528,FALSE,"br_3249"
33,135,-4.1009,-5.272,-4.1009,-5.272,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.228,141.792149737429,-6.79214973742918,FALSE,"br_3249"
34,90,-0.6924,-1.6405,-0.6924,-1.6405,528,395,0,-8.5,0,3.5,1,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.8595,95.7639300603902,-5.76393006039017,FALSE,"br_3249"
35,45,3.9336,-4.6839,3.9336,-4.6839,528,395,0,-8.5,8.4853,-0.014719,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.8161,44.131354983021,0.868645016978952,FALSE,"br_3249"
36,135,-3.258,-4.6247,-3.258,-4.6247,528,395,0,-8.5,-8.4853,-0.014719,1,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.8753,130.05407178199,4.94592821800953,FALSE,"br_3249"
37,135,-4.0633,-4.6679,-4.0633,-4.6679,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.8321,136.677305754815,-1.67730575481485,FALSE,"br_3249"
38,45,4.4216,-3.3537,4.4216,-3.3537,528,395,0,-8.5,8.4853,-0.014719,1,0,541,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,5.1463,49.3314749867496,-4.3314749867496,FALSE,"br_3249"
39,90,0.4655,-1.7266,0.4655,-1.7266,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.7734,86.0685455089629,3.93145449103709,FALSE,"br_3249"
40,45,4.0022,-4.3714,4.0022,-4.3714,528,395,0,-8.5,8.4853,-0.014719,1,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.1286,45.8906384614203,-0.890638461420281,FALSE,"br_3249"
41,90,-0.4341,-2.4458,-0.4341,-2.4458,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.0542,94.1012197474973,-4.10121974749734,FALSE,"br_3249"
42,135,-4.1634,-4.8299,-4.1634,-4.8299,528,395,0,-8.5,-8.4853,-0.014719,1,0,281,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.6701,138.60333634889,-3.60333634889048,FALSE,"br_3249"
43,45,4.2987,-3.9365,4.2987,-3.9365,528,395,0,-8.5,8.4853,-0.014719,1,0,561,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.5635,46.7114722847306,-1.71147228473058,FALSE,"br_3249"
44,90,-0.7901,-2.2554,-0.7901,-2.2554,528,395,0,-8.5,0,3.5,1,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.2446,97.2110498823313,-7.21104988233125,FALSE,"br_3249"
45,135,-3.7085,-5.212,-3.7085,-5.212,528,395,0,-8.5,-8.4853,-0.014719,1,0,337,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.288,138.439423806988,-3.43942380698849,FALSE,"br_3249"
64,135,-4.7001,-4.7304,-4.7001,-4.7304,528,395,0,-8.5,-8.4853,-0.014719,1,0,1381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.7696,141.269498239333,-6.26949823933333,FALSE,"br_3249"
65,45,4.7612,-3.4126,4.7612,-3.4126,528,395,0,-8.5,8.4853,-0.014719,1,0,501,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,5.0874,46.8970263094781,-1.89702630947806,FALSE,"br_3249"
66,90,0.0757,-2.7135,0.0757,-2.7135,528,395,0,-8.5,0,3.5,1,0,581,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.7865,89.250489397418,0.749510602582049,FALSE,"br_3249"
67,45,4.4903,-4.416,4.4903,-4.416,528,395,0,-8.5,8.4853,-0.014719,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.084,42.2870234552167,2.71297654478326,FALSE,"br_3249"
68,90,-0.2588,-2.8369,-0.2588,-2.8369,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.6631,92.6165595051213,-2.61655950512129,FALSE,"br_3249"
69,135,-3.9188,-4.3533,-3.9188,-4.3533,528,395,0,-8.5,-8.4853,-0.014719,1,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.1467,133.381472360154,1.61852763984615,FALSE,"br_3249"
70,135,-4.1566,-4.9239,-4.1566,-4.9239,528,395,0,-8.5,-8.4853,-0.014719,1,0,301,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.5761,139.293187341313,-4.29318734131306,FALSE,"br_3249"
71,90,0.3367,-2.3455,0.3367,-2.3455,528,395,0,-8.5,0,3.5,1,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.1545,86.868587660702,3.131412339298,FALSE,"br_3249"
72,45,3.9153,-3.9593,3.9153,-3.9593,528,395,0,-8.5,8.4853,-0.014719,1,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.5407,49.2298556323614,-4.22985563236143,FALSE,"br_3249"
