"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
23,45,4.9976,-4.6983,4.9976,-4.6983,528,395,0,-8.5,8.4853,-0.014719,1,0,721,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,3.8017,37.2604347269085,7.73956527309152,FALSE,"ls_1201"
24,90,0.14,-5.2591,0.14,-5.2591,528,395,0,-8.5,0,3.5,1,0,502,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,3.2409,87.5264817664888,2.47351823351121,FALSE,"ls_1201"
25,90,-0.374,-3.9828,-0.374,-3.9828,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,4.5172,94.7329889911827,-4.73298899118265,FALSE,"ls_1201"
26,45,4.3146,-4.1977,4.3146,-4.1977,528,395,0,-8.5,8.4853,-0.014719,1,0,662,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,4.3023,44.918214484401,0.0817855155990372,FALSE,"ls_1201"
27,135,-3.4725,-5.2438,-3.4725,-5.2438,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.2562,136.841189371791,-1.84118937179142,FALSE,"ls_1201"
28,135,-2.994,-6.1207,-2.994,-6.1207,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,2.3793,141.52620723431,-6.52620723430957,FALSE,"ls_1201"
29,45,3.2821,-6.296,3.2821,-6.296,528,395,0,-8.5,8.4853,-0.014719,1,0,561,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,2.204,33.8822009871096,11.1177990128904,FALSE,"ls_1201"
30,90,-0.2642,-4.6206,-0.2642,-4.6206,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,3.8794,93.8960166273492,-3.89601662734924,FALSE,"ls_1201"
31,45,4.003,-5.9267,4.003,-5.9267,528,395,0,-8.5,8.4853,-0.014719,1,0,580,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,2.5733,32.7346475392823,12.2653524607177,FALSE,"ls_1201"
32,135,-2.9244,-6.1817,-2.9244,-6.1817,528,395,0,-8.5,-8.4853,-0.014719,1,0,441,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,2.3183,141.594596072132,-6.59459607213213,FALSE,"ls_1201"
