group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active,ro
sEDS,s07,46,91.006,90,0,0,-0.2139,12.182,-1.08037243290463,11.8611991081945,1,7461,1,1,0
sEDS,s07,47,153.09,130,0,0,-10.942,5.5535,-9.10751243290463,6.61549910819451,1,5987,1,1,0
sEDS,s07,48,40.529,50,0,0,9.1568,7.8287,9.11438756709537,6.95949910819451,1,6734,1,1,0
sEDS,s07,49,136.51,130,0,0,-8.7643,8.314,-7.03521243290463,9.39619910819451,1,5274,1,1,0
sEDS,s07,50,94.136,90,0,0,-0.8703,12.035,0.348797567095374,11.3741991081945,1,5694,1,1,0
sEDS,s07,51,68.49,50,0,0,4.4148,11.202,3.49298756709537,10.7431991081945,1,8623,1,1,0
sEDS,s07,52,41.962,50,0,0,8.9739,8.0694,9.28108756709537,6.04219910819451,1,6598,1,1,0
sEDS,s07,53,153.29,130,0,0,-10.935,5.5026,-9.70301243290463,6.58689910819451,1,7608,1,1,0
sEDS,s07,54,113.34,90,0,0,-4.8028,11.131,-3.72431243290463,11.0591991081945,1,7424,1,1,0
sEDS,s07,55,120.15,130,0,0,-6.1317,10.555,-5.08201243290463,11.0871991081945,1,7560,1,1,0
sEDS,s07,56,52.842,50,0,0,7.49,9.8828,7.28028756709537,9.79749910819451,1,7768,1,1,0
sEDS,s07,57,93.011,90,0,0,-0.6369,12.107,-0.270513432904626,11.7471991081945,1,8101,1,1,0
sEDS,s07,58,151.84,130,0,0,-10.655,5.7047,-8.65491243290463,7.33219910819451,1,8091,1,1,0
sEDS,s07,59,57.033,50,0,0,6.6675,10.28,6.27978756709537,10.0841991081945,1,6460,1,1,0
sEDS,s07,60,95.13,90,0,0,-1.0796,12.026,0.706087567095374,11.9761991081945,1,5890,1,1,0
sEDS,s07,61,38.936,50,0,0,9.5934,7.7508,9.51928756709537,7.27489910819451,1,6138,1,1,0
sEDS,s07,62,148.25,130,0,0,-10.236,6.3351,-9.84591243290463,7.38949910819451,1,6392,1,1,0
sEDS,s07,63,94.031,90,0,0,-0.8475,12.025,-0.437252432904626,11.6891991081945,1,5732,1,1,0
sEDS,s07,118,88.893,90,0,0,0.2336,12.094,0.0153175670953737,12.2341991081945,2,4629,1,1,0
sEDS,s07,119,52.067,50,0,0,7.3796,9.4684,7.68518756709537,9.79749910819451,2,4152,1,1,0
sEDS,s07,120,132.22,130,0,0,-8.1119,8.9396,-7.63071243290463,9.76889910819451,2,4268,1,1,0
sEDS,s07,121,137.92,130,0,0,-9.0057,8.132,-7.46401243290463,9.31019910819451,2,4320,1,1,0
sEDS,s07,122,57.447,50,0,0,6.5248,10.221,5.89868756709537,10.9151991081945,2,4649,1,1,0
sEDS,s07,123,92.969,90,0,0,-0.6235,12.023,-0.746902432904626,12.4351991081945,2,4250,1,1,0
sEDS,s07,124,140.25,130,0,0,-9.3739,7.7953,-8.34531243290463,8.56489910819451,2,4458,1,1,0
sEDS,s07,125,55.455,50,0,0,6.969,10.123,6.49418756709537,10.5711991081945,2,4959,1,1,0
sEDS,s07,126,111.86,90,0,0,-4.4969,11.211,-3.22411243290463,11.8331991081945,2,4810,1,1,0
sEDS,s07,127,89.348,90,0,0,0.1371,12.055,0.396427567095374,12.0331991081945,2,4811,1,1,0
sEDS,s07,128,50.537,50,0,0,7.9348,9.6382,7.04208756709537,10.0841991081945,2,5003,1,1,0
sEDS,s07,129,133.03,130,0,0,-8.3437,8.9381,-7.10671243290463,9.62549910819451,2,4557,1,1,0
sEDS,s07,130,139.59,130,0,0,-9.1832,7.8172,-6.63031243290463,8.39289910819451,2,4223,1,1,0
sEDS,s07,131,90.861,90,0,0,-0.1808,12.03,-0.675442432904626,11.8331991081945,2,4941,1,1,0
sEDS,s07,132,52.498,50,0,0,7.6838,10.013,7.44698756709537,9.59689910819451,2,4555,1,1,0
sEDS,s07,133,49.4,50,0,0,7.8294,9.1347,7.44698756709537,9.79749910819451,2,4278,1,1,0
sEDS,s07,134,93.092,90,0,0,-0.6501,12.036,-0.437252432904626,12.9221991081945,2,4289,1,1,0
sEDS,s07,135,135.25,130,0,0,-8.7445,8.6689,-8.25001243290463,8.96619910819451,2,5848,1,1,0
sEDS,s07,190,54.464,50,0,0,7.0816,9.9147,6.44658756709537,10.1128991081945,3,6706,1,1,0
sEDS,s07,191,141.9,130,0,0,-9.4744,7.4297,-9.20281243290463,8.47889910819451,3,4760,1,1,0
sEDS,s07,192,93.808,90,0,0,-0.8076,12.135,0.0391375670953737,12.6351991081945,3,4417,1,1,0
sEDS,s07,193,95.871,90,0,0,-1.2379,12.038,-0.461072432904626,11.6611991081945,3,5872,1,1,0
sEDS,s07,194,152.81,130,0,0,-10.757,5.5269,-9.27431243290463,6.58689910819451,3,3932,1,1,0
sEDS,s07,195,43.442,50,0,0,8.9028,8.4313,9.40018756709537,7.84819910819451,3,3828,1,1,0
sEDS,s07,196,133.92,130,0,0,-8.5411,8.8678,-7.91651243290463,8.33549910819451,3,4543,1,1,0
sEDS,s07,197,112.22,90,0,0,-4.5896,11.237,-3.55761243290463,11.9761991081945,3,4717,1,1,0
sEDS,s07,198,43.916,50,0,0,8.7364,8.4118,9.16198756709537,7.44689910819451,3,5202,1,1,0
sEDS,s07,199,79.995,90,0,0,2.1102,11.962,3.15948756709537,11.7751991081945,3,5719,1,1,0
sEDS,s07,200,69.004,50,0,0,4.3894,11.437,4.58868756709537,10.9441991081945,3,5537,1,1,0
sEDS,s07,201,146.2,130,0,0,-10.178,6.8131,-9.70301243290463,7.07419910819451,3,7429,1,1,0
sEDS,s07,202,139.79,130,0,0,-9.2891,7.8534,-8.72641243290463,7.79089910819451,3,6232,1,1,0
sEDS,s07,203,88.756,90,0,0,0.2625,12.085,0.610807567095374,12.3491991081945,3,5198,1,1,0
sEDS,s07,204,55.083,50,0,0,6.8909,9.8717,7.20878756709537,9.51089910819451,3,5087,1,1,0
sEDS,s07,205,45.937,50,0,0,8.5231,8.8065,8.94758756709537,7.76219910819451,3,5919,1,1,0
sEDS,s07,206,107.21,90,0,0,-3.5912,11.595,-3.50991243290463,11.8041991081945,3,5977,1,1,0
sEDS,s07,207,151.15,130,0,0,-10.558,5.8161,-10.0365124329046,7.01689910819451,3,4671,1,1,0
sEDS,s07,262,52,50,0,0,7.5986,9.7259,7.42318756709537,8.88019910819451,4,5821,1,1,0
sEDS,s07,263,140.62,130,0,0,-9.3739,7.6948,-8.46441243290463,8.33549910819451,4,4314,1,1,0
sEDS,s07,264,94.746,90,0,0,-0.9957,11.992,-0.675442432904626,12.4921991081945,4,4686,1,1,0
sEDS,s07,265,47.795,50,0,0,8.1131,8.946,8.51888756709537,8.27819910819451,4,4264,1,1,0
sEDS,s07,266,157.81,130,0,0,-11.239,4.5844,-9.29811243290463,7.44689910819451,4,4086,1,1,0
sEDS,s07,267,108.76,90,0,0,-3.8894,11.452,-3.86721243290463,11.4311991081945,4,4544,1,1,0
sEDS,s07,268,149.82,130,0,0,-10.478,6.0932,-10.0365124329046,6.70149910819451,4,4150,1,1,0
sEDS,s07,269,45.028,50,0,0,8.6723,8.6809,8.97138756709537,6.98819910819451,4,4562,1,1,0
sEDS,s07,270,111.06,90,0,0,-4.4098,11.452,-3.53381243290463,11.9191991081945,4,4397,1,1,0
sEDS,s07,271,153.88,130,0,0,-10.796,5.2933,-9.15521243290463,6.18549910819451,4,4271,1,1,0
sEDS,s07,272,94.157,90,0,0,-0.8726,12.006,0.515527567095374,12.5491991081945,4,4275,1,1,0
sEDS,s07,273,51.341,50,0,0,7.5725,9.4659,7.70898756709537,9.45349910819451,4,4263,1,1,0
sEDS,s07,274,141.6,130,0,0,-9.5327,7.5564,-7.72601243290463,9.31019910819451,4,3901,1,1,0
sEDS,s07,275,58.211,50,0,0,6.3739,10.285,6.39888756709537,9.19549910819451,4,3907,1,1,0
sEDS,s07,276,116.73,90,0,0,-5.4262,10.777,-3.77201243290463,11.1451991081945,4,4047,1,1,0
sEDS,s07,277,152.37,130,0,0,-10.906,5.7092,-10.0841124329046,6.32889910819451,4,3719,1,1,0
sEDS,s07,278,80.88,90,0,0,1.9244,11.988,3.56438756709537,11.8041991081945,4,4177,1,1,0
sEDS,s07,279,47.82,50,0,0,8.1752,9.0222,8.80468756709537,7.90549910819451,4,3974,1,1,0
sEDS,s07,73,89.825,90,0,0,0.0343,11.25,0.420247567095374,12.4061991081945,1,6494,1,0,0
sEDS,s07,74,152.71,130,0,0,-10.122,5.222,-9.10751243290463,6.95949910819451,1,4461,1,0,0
sEDS,s07,75,38.259,50,0,0,8.8256,6.9597,8.85228756709537,8.33549910819451,1,2861,1,0,0
sEDS,s07,76,139.08,130,0,0,-8.5266,7.3915,-8.65491243290463,7.36089910819451,1,4539,1,0,0
sEDS,s07,77,93.611,90,0,0,-0.7006,11.101,0.301157567095374,12.0051991081945,1,3378,1,0,0
sEDS,s07,78,65.943,50,0,0,4.6162,10.341,4.70778756709537,11.5751991081945,1,3671,1,0,0
sEDS,s07,79,41.598,50,0,0,8.4397,7.4925,2.94508756709537,4.55149910819451,1,3163,0,0,0
sEDS,s07,80,154.35,130,0,0,-10.187,4.8914,-9.77451243290463,6.75889910819451,1,2869,1,0,0
sEDS,s07,81,112.29,90,0,0,-4.2391,10.34,-3.91491243290463,11.4031991081945,1,2913,1,0,0
sEDS,s07,82,121.77,130,0,0,-5.9517,9.6107,-4.29601243290463,11.0011991081945,1,3381,1,0,0
sEDS,s07,83,50.157,50,0,0,7.4616,8.9419,9.25728756709537,7.70489910819451,1,3763,1,0,0
sEDS,s07,84,91.87,90,0,0,-0.3686,11.29,-0.365790432904626,12.8361991081945,1,2958,1,0,0
sEDS,s07,85,152.6,130,0,0,-9.8768,5.1191,-9.70301243290463,6.24289910819451,1,2911,1,0,0
sEDS,s07,86,54.512,50,0,0,6.6613,9.3428,8.25688756709537,8.65089910819451,1,3195,1,0,0
sEDS,s07,87,94.411,90,0,0,-0.8582,11.125,-0.222874432904626,12.2911991081945,1,3458,1,0,0
sEDS,s07,88,37.698,50,0,0,8.9961,6.9524,9.44778756709537,7.01689910819451,1,3229,1,0,0
sEDS,s07,89,149.06,130,0,0,-9.5501,5.7254,-9.39331243290463,6.50089910819451,1,3561,1,0,0
sEDS,s07,90,92.462,90,0,0,-0.4856,11.294,-0.365790432904626,12.0051991081945,1,3460,1,0,0
sEDS,s07,145,87.942,90,0,0,0.3993,11.114,-0.818362432904626,12.1481991081945,2,3433,1,0,0
sEDS,s07,146,49.905,50,0,0,7.2874,8.6557,7.87578756709537,8.50749910819451,2,2789,1,0,0
sEDS,s07,147,133.55,130,0,0,-7.7466,8.1484,-6.74941243290463,10.0841991081945,2,2905,1,0,0
sEDS,s07,148,138.86,130,0,0,-8.4471,7.3783,-9.75061243290463,7.47549910819451,2,2775,1,0,0
sEDS,s07,149,54.704,50,0,0,6.6222,9.3544,8.66178756709537,8.16349910819451,2,2806,1,0,0
sEDS,s07,150,92.504,90,0,0,-0.4931,11.275,1.08718756709537,12.4351991081945,2,2969,1,0,0
sEDS,s07,151,141.32,130,0,0,-8.9205,7.141,-8.60731243290463,9.05219910819451,2,2849,1,0,0
sEDS,s07,152,53.155,50,0,0,6.9133,9.226,9.30488756709537,7.53289910819451,2,2840,1,0,0
sEDS,s07,153,111.35,90,0,0,-4.0577,10.381,-4.41511243290463,12.0621991081945,2,3138,1,0,0
sEDS,s07,154,87.943,90,0,0,0.4015,11.178,3.37388756709537,12.9511991081945,2,2784,1,0,0
sEDS,s07,155,47.901,50,0,0,8.0034,8.8579,9.87658756709537,8.07749910819451,2,3111,1,0,0
sEDS,s07,156,134.86,130,0,0,-8.0487,8.0868,-5.51081243290463,11.3451991081945,2,3307,1,0,0
sEDS,s07,157,140.43,130,0,0,-8.5896,7.0974,-7.53541243290463,9.48219910819451,2,2989,1,0,0
sEDS,s07,158,89.073,90,0,0,0.1815,11.222,1.08718756709537,12.6071991081945,2,3194,1,0,0
sEDS,s07,159,49.571,50,0,0,7.8241,9.1839,9.54308756709537,8.39289910819451,2,3089,1,0,0
sEDS,s07,160,46.082,50,0,0,7.9194,8.2244,10.1145875670954,6.67289910819451,2,2609,1,0,0
sEDS,s07,161,91.877,90,0,0,-0.3648,11.133,2.58778756709537,12.0911991081945,2,2904,1,0,0
sEDS,s07,162,137.43,130,0,0,-8.447,7.758,-6.63031243290463,10.0841991081945,2,3085,1,0,0
sEDS,s07,217,52.894,50,0,0,6.9386,9.1726,8.04248756709537,7.87689910819451,3,4371,1,0,0
sEDS,s07,218,142.34,130,0,0,-8.9062,6.8742,-9.34571243290463,7.70489910819451,3,2994,1,0,0
sEDS,s07,219,93.105,90,0,0,-0.6096,11.237,-0.151412432904626,12.7791991081945,3,3390,1,0,0
sEDS,s07,220,94.631,90,0,0,-0.9103,11.238,-0.484892432904626,12.1771991081945,3,3634,1,0,0
sEDS,s07,221,152.92,130,0,0,-10.043,5.1346,-9.20281243290463,6.84489910819451,3,3358,1,0,0
sEDS,s07,222,42.064,50,0,0,8.5234,7.6918,9.44778756709537,7.21749910819451,3,3248,1,0,0
sEDS,s07,223,135.1,130,0,0,-8.1135,8.0857,-7.70221243290463,9.10949910819451,3,3905,1,0,0
sEDS,s07,224,110.75,90,0,0,-3.9701,10.48,-3.79581243290463,12.3771991081945,3,3983,1,0,0
sEDS,s07,225,42.699,50,0,0,8.3401,7.6957,9.94758756709537,6.95949910819451,3,3132,1,0,0
sEDS,s07,226,78.938,90,0,0,2.1542,11.019,3.63588756709537,11.7471991081945,3,3261,1,0,0
sEDS,s07,227,65.846,50,0,0,4.7912,10.684,4.39808756709537,10.7151991081945,3,3155,1,0,0
sEDS,s07,228,147.08,130,0,0,-9.5212,6.1647,-9.34571243290463,7.70489910819451,3,3431,1,0,0
sEDS,s07,229,141.43,130,0,0,-8.8698,7.0739,-8.44061243290463,8.73689910819451,3,3755,1,0,0
sEDS,s07,230,87.083,90,0,0,0.573,11.246,1.99228756709537,12.1771991081945,3,3359,1,0,0
sEDS,s07,231,50.702,50,0,0,7.3596,8.9923,8.82848756709537,7.99149910819451,3,3657,1,0,0
sEDS,s07,232,42.798,50,0,0,8.5015,7.8718,9.37638756709537,7.10289910819451,3,3583,1,0,0
sEDS,s07,233,105.99,90,0,0,-3.1174,10.877,-2.24751243290463,11.3741991081945,3,3837,1,0,0
sEDS,s07,234,151.78,130,0,0,-9.9112,5.3195,-9.13131243290463,6.81619910819451,3,3367,1,0,0
sEDS,s07,289,50.046,50,0,0,7.448,8.8907,7.44698756709537,8.30689910819451,4,3726,1,0,0
sEDS,s07,290,140.68,130,0,0,-8.6752,7.1055,-8.13091243290463,8.62219910819451,4,2912,1,0,0
sEDS,s07,291,93.248,90,0,0,-0.6351,11.193,0.0391375670953737,12.2341991081945,4,2923,1,0,0
sEDS,s07,292,47.494,50,0,0,7.5703,8.2597,9.63838756709537,7.67619910819451,4,2689,1,0,0
sEDS,s07,293,156.47,130,0,0,-10.399,4.5274,-10.0365124329046,5.64089910819451,4,2729,1,0,0
sEDS,s07,294,107,90,0,0,-3.3037,10.807,-3.60521243290463,11.3741991081945,4,2821,1,0,0
sEDS,s07,295,149.7,130,0,0,-9.6204,5.6206,-9.79831243290463,6.61549910819451,4,2827,1,0,0
sEDS,s07,296,44.744,50,0,0,8.2177,8.1446,9.40018756709537,5.98489910819451,4,2703,1,0,0
sEDS,s07,297,110.69,90,0,0,-4.0519,10.73,-3.79581243290463,12.5491991081945,4,3094,1,0,0
sEDS,s07,298,153.04,130,0,0,-9.8777,5.0232,-9.89361243290463,6.87349910819451,4,3006,1,0,0
sEDS,s07,299,92.752,90,0,0,-0.5416,11.265,-0.0323224329046263,12.4921991081945,4,2984,1,0,0
sEDS,s07,300,49.667,50,0,0,7.2717,8.5644,8.85228756709537,7.50419910819451,4,2710,1,0,0
sEDS,s07,301,143.21,130,0,0,-9.0602,6.7749,-9.17901243290463,7.81949910819451,4,2949,1,0,0
sEDS,s07,302,56.41,50,0,0,6.2079,9.3473,8.01868756709537,8.39289910819451,4,2918,1,0,0
sEDS,s07,303,115.01,90,0,0,-4.7085,10.095,-4.22451243290463,11.8041991081945,4,3129,1,0,0
sEDS,s07,304,151.44,130,0,0,-9.9962,5.4402,-10.5364124329046,6.24289910819451,4,2992,1,0,0
