0	180	0.0	-0.085	-0.12	-0.085	797	255	1240	294
1	108.0	0.0	-0.085	-0.037082039325	0.0291267819554	749	264	929	707
2	90	0.0	-0.085	0.0	0.035	824	268	811	729
3	126.0	0.0	-0.085	-0.0705342302751	0.012082039325	736	246	1073	621
4	0	0.0	-0.085	0.12	-0.085	798	209	275	268
5	180.0	0.0	-0.085	-0.12	-0.085	791	222	1242	282
6	0	0.0	-0.085	0.12	-0.085	778	270	217	223
7	171.0	0.0	-0.085	-0.118522600871	-0.0662278641952	796	244	1270	294
8	36.0	0.0	-0.085	0.097082039325	-0.0144657697249	785	294	391	519
9	90	0.0	-0.085	0.0	0.035	823	254	826	745
10	90	0.0	-0.085	0.0	0.035	775	242	801	719
11	90.0	0.0	-0.085	0.0	0.035	794	285	810	706
12	27.0	0.0	-0.085	0.106920782903	-0.0305211400313	792	276	352	498
13	180	0.0	-0.085	-0.12	-0.085	792	266	1289	280
14	180	0.0	-0.085	-0.12	-0.085	776	268	1220	260
15	63.0	0.0	-0.085	0.0544788599687	0.0219207829026	792	285	573	611
16	72.0	0.0	-0.085	0.037082039325	0.0291267819554	775	267	657	612
17	90	0.0	-0.085	0.0	0.035	778	285	819	633
18	90	0.0	-0.085	0.0	0.035	839	245	852	625
19	9.0	0.0	-0.085	0.118522600871	-0.0662278641952	782	237	348	332
20	135	0.0	-0.085	-0.12	-0.085	756	204	1230	287
21	135.0	0.0	-0.085	-0.0848528137424	-0.000147186257614	827	253	1129	472
22	54.0	0.0	-0.085	0.0705342302751	0.012082039325	796	258	538	512
23	153.0	0.0	-0.085	-0.106920782903	-0.0305211400313	815	261	1185	408
24	18.0	0.0	-0.085	0.114126781955	-0.047917960675	804	242	353	406
25	0.0	0.0	-0.085	0.12	-0.085	794	247	309	263
26	90	0.0	-0.085	0.0	0.035	825	232	775	640
27	90	0.0	-0.085	0.0	0.035	772	242	782	637
28	90	0.0	-0.085	0.0	0.035	779	256	827	654
29	90	0.0	-0.085	0.0	0.035	790	250	811	702
30	117.0	0.0	-0.085	-0.0544788599687	0.0219207829026	775	258	1016	604
31	162.0	0.0	-0.085	-0.114126781955	-0.047917960675	813	248	1226	360
32	99.0	0.0	-0.085	-0.0187721358048	0.0335226008714	811	269	912	658
33	0	0.0	-0.085	0.12	-0.085	818	256	300	234
34	0	0.0	-0.085	0.12	-0.085	799	231	288	235
35	81.0	0.0	-0.085	0.0187721358048	0.0335226008714	783	258	721	667
36	45	0.0	-0.085	-0.12	-0.085	792	222	1259	258
37	45.0	0.0	-0.085	0.0848528137424	-0.000147186257614	795	253	448	582
38	144.0	0.0	-0.085	-0.097082039325	-0.0144657697249	811	260	1219	546
39	180	0.0	-0.085	-0.12	-0.085	813	204	1219	276
